site,kind,mutates,guard,handled,note
Assets.Scripts.Atmospherics/Atmosphere.cs::ReactWithCell,gated,yes,"World: PAS.RemoveEnergy / PAS.AddEnergy (2294, 2298); Network/Thing: AtmosphereHelper.DoConvection clones when Mode == Global (2338, 2381 samples), DoEntropy -> PAS.AddEnergy",,"Heat only. A World cell with no room/cell radiates to or from ReadonlyGlobalAtmosphere, booked through switched PAS.AddEnergy/RemoveEnergy (ExternalInputEnergyOffset). Pipe networks and thing atmospheres sample outdoor air for convection (DoConvection clones a real cell if it is the copy) and radiate via DoEntropy -> PAS.AddEnergy. Every radiating pipe/tank outdoors feeds the planet heat counter; the counter is divided by tank heat capacity, so at 0.05 volume each joule moves the planet 20x more. Solar gain (HasLight) is added from nowhere by design. | closure pass: L2289 reads ReadonlyGlobalAtmosphere only as the temperature reference for GetRadiatedHeat; the energy moved on the real cell is mirrored into the PAS energy counter (ExternalInputEnergyOffset). Heat counter site; rate factors RatioOneAtmosphere*10 and 0.1*suppression are absolute"
Assets.Scripts.Atmospherics/Atmosphere.cs::ReactWithStructures,read,no,,,Samples neighbour pressure for wall stress and damage. Pure read.
Assets.Scripts.Atmospherics/Atmosphere.cs::RecachePressureAfterLiquidMix,read,no,,,"Rebuilds each MixData from the entry PressureGasses after liquid mixing; reads only, incl. the read-only copy"
Assets.Scripts.Atmospherics/Atmosphere.cs::SpawnLiquidSolverParticles,internal,yes,!_lowerNeighbour.IsGlobalAtmosphere (1903); !flatNeighbour.IsGlobalAtmosphere (1919),,Spawns liquid particles from this real cell toward real neighbours only; the read-only copy is explicitly excluded. Liquid moves between real cells.
Assets.Scripts.Atmospherics/Atmosphere.cs::StateChange,internal,yes,Mode == AtmosphereMode.Global => return (2903),,Per-cell phase change; skips the read-only copy. Does not touch the planet.
Assets.Scripts.Atmospherics/Atmosphere.cs::TakeAtmospherePortion,gated,yes,"atmosphere.IsGlobalAtmosphere => PAS.TakeGlobalMoles(PAS.GetGlobalMoles(Gas) * takeScalar, Gas) (1663-1665)",,"Outdoor mix take step: the share from a read-only neighbour is taken from the tank through switched GetGlobalMoles/TakeGlobalMoles (per-cell moles = tank x GridVolume/GlobalVolume, so it scales with tank volume). Gas only."
Assets.Scripts.Atmospherics/Atmosphere.cs::TakeAtmospheresMixInWorld,gated,yes,"callee TakeAtmospherePortion: if (atmosphere.IsGlobalAtmosphere) PlanetaryAtmosphereSimulation.TakeGlobalMoles(GetGlobalMoles(Gas) * takeScalar, Gas) (L1663-1665)",,Takes TakeWeight of each entry into the pool; for a read-only entry the helper debits the tank through the switched TakeGlobalMoles and never Removes from the copy. Amount = GetGlobalMoles*takeScalar as returned by the switched method: check its per-cell scaling when tank volume is x0.05
Assets.Scripts.Atmospherics/Atmosphere.cs::Temperature,read,no,,,"Temperature getter: clients use a cached value except for Mode Global, which reads GasMixture directly."
Assets.Scripts.Atmospherics/Atmosphere.cs::UpdateTolerance,none,no,,,Network dirty tolerance by Mode (Global => Precision). No gas.
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::CalculateEntropy,read,no,,,"Reads ReadonlyGlobalAtmosphere temperature (floor 50 K if < 1 K) as the radiation sink temperature; returns an energy and mutates nothing (DoEntropy does, via switched PAS.AddEnergy). Absolute: 50 K floor, PressureMinimumSafe lerp, clamp to TotalEnergy/2"
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::DoConvection,gated,yes,worldAtmosphere.Mode != AtmosphereMode.Global (536) else AtmosphericsManager.CloneGlobalAtmosphereThreadSafe(grid) (545),,Heat only: transfers convection energy between an internal atmosphere and the outdoor cell; if outdoor is the read-only copy it clones a real cell first (debits tank). Side effect: every convecting pipe/thing outdoors instantiates a real cell.
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::DoEntropy,gated,yes,PlanetaryAtmosphereSimulation.AddEnergy(internalAtmosphere.GasMixture.RemoveEnergy(...)) (526),,Heat only: radiated energy removed from the internal atmosphere and credited to switched PAS.AddEnergy (ExternalInputEnergyOffset). One-way: planet only gains.
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::IsSubmerged,read,no,,,"Both overloads: GlobalAtmosphereLiquid.IsUnderGlobalLiquid(point), then local cell liquid level (AtmosphericsManager.Find). Global sea read only."
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::IsValidForNetworkSend,read,no,,,Identity check by ReferenceId against SampleGlobalAtmosphere. No gas.
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::CalculateParticleAtmospheres,display,no,,,Both overloads: read atmosphere.Direction for gas visualiser particles.
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::CloneGlobalAtmosphereThreadSafe,gated,yes,AtmosphericsManager.Find(worldGrid) else AtmosphericsController.World.CloneGlobalAtmosphere under _worldAtmosphereCreationLock (758-768),,"Thread-safe wrapper that always returns a real cell, creating one through CloneGlobalAtmosphere -> PAS.CloneGlobalGasMix (switched debit). CloneGlobalGasMix copies ALL matter states scaled by cell/tank volume (so tank liquid materialises in the new cell) and returns empty above SpaceHeight."
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::Deregister,gated,yes,PlanetaryAtmosphereSimulation.GiveToGlobal(atmosphere.GasMixture) (391),,"World cell destroyed: its entire mixture (gas AND liquid) handed to switched GiveToGlobal; heat difference booked to ExternalInputEnergyOffset. Also applies to cells above SpaceHeight, so gas up there returns to the planet. Liquids enter the tank here (global sea source)."
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::ParticleMode,read,no,,,Census member mis-attribution: line 125 is inside the ProcessAtmospheresClientAction lambda; !IsGlobalAtmosphere => IsCachable = true. Keeps the read-only copy uncached on clients. No gas.
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::ProcessAtmospheresClient,internal,yes,,,"Client tick calls PAS.TickPlanetarySimulation(): phase change, cloud tipping, weather scheduling and the read-only rebuild run on clients against a tank that is not networked (client tank can diverge from host). Absolute rates inside (MINMeltQuantity 1000 mol, MINLiquidFreezeQuantity 3000 mol, clouds 100000 L, caps 1e7 L). Latent heat -> LatentEnergyOffset."
Assets.Scripts.Atmospherics/GasMixtureHelper.cs::Create,internal,no,,,"Create(GlobalGasMix, matterState): builds an UNSCALED GasMixture copy of the whole tank at the planet temperature (GetGlobalGasMixTemperature with WorldSetting GlobalAtmosphereData). Used by PAS.GetGlobalGasMixCopy. Copy only."
Assets.Scripts.Atmospherics/LiquidSolver.cs::BuildDistantGlobalWater,display,no,,,"Renders the distant global sea: GlobalAtmosphereLiquid.LiquidHeight / ratio, colour from PAS.GetGlobalGasMixCopy(All). Hard-coded render extents. Global sea display."
Assets.Scripts.Atmospherics/LiquidSolver.cs::BuildGlobalRenderBatches,display,no,,,Renders near global sea batches (25x25x4 cells around camera) from GlobalAtmosphereLiquid and tank copy colour. Global sea display.
Assets.Scripts.Atmospherics/TerraForming.cs::GetGhgIndex,internal,no,,,"Sums each gas's curve at mmol/L = tank moles / tank Volume. Density based, so it scales with tank volume. Feeds the temperature formula."
Assets.Scripts.GridSystem/Room.cs::CacheRoomData,read,no,,,Sums sampled atmospheres of the room's grids into a local GasMixture for cached pressure/temperature. A room grid with no real cell contributes the planet copy (reads as outdoor air). Read only; Chemistry.GridVolume divisor.
Assets.Scripts.Inventory/InventoryManager.cs::DebugContentsMethod,display,no,,,Debug gas list of Parent.BreathingAtmosphere
Assets.Scripts.Inventory/InventoryManager.cs::HandleHeatHaze,display,no,,,Helmet frost / heat haze from Parent.WorldAtmosphere temperature.
Assets.Scripts.Localization2/GameStrings.cs::(type),none,no,,,GameString named BreathingAtmosphere (Occupant Atmosphere): name collision
Assets.Scripts.Objects.Clothing.Suits/SuitModuleHelper.cs::HandleFilters,bypass,yes,NONE,"accepted: filtered suit waste is lost outdoors, only for suits without a waste tank slot; filter rate, a breath's worth per tick","SINK. For suits with no waste tank slot (SuitBase.HasWasteTankSlot => wasteTankSlotId > -1; which prefabs have -1 is prefab data not visible in the decompile; Suit.cs hardcodes true) GasFilter.FilterGas moves suit gas by ref into suit.WorldAtmosphere.GasMixture (54); outdoors that is the read-only copy, so filtered CO2/pollutant is destroyed instead of reaching the planet. Rate: filter rate per tick, small."
Assets.Scripts.Objects.Clothing.Suits/SuitModuleHelper.cs::RegulatePressure,bypass,yes,NONE,"accepted: suit over-pressure relief is lost outdoors, only for suits without a waste tank slot; grams","SINK. Over-pressure relief for suits without a waste tank slot: suit.InternalAtmosphere.Remove(...) then suit.WorldAtmosphere.Add(gasMixture) (79) with no global check; outdoors the gas vanishes. Amount = min(PressurePerTick x Efficiency, overpressure) sized on WorldAtmosphere.Volume (66; 8000 L for the copy, absolute). Same prefab-data caveat as HandleFilters."
Assets.Scripts.Objects.Clothing/AdvancedSuit.cs::GetLogicValue,read,no,,,TemperatureExternal / PressureExternal from WorldAtmosphere.
Assets.Scripts.Objects.Clothing/SuitBase.cs::BreathingAtmosphere,none,no,,,Private property forwarding ParentEntity.BreathingAtmosphere (else own InternalAtmosphere); nothing in SuitBase references it: dead code
Assets.Scripts.Objects.Clothing/SuitBase.cs::CalculateAdjustedConvectionFactor,read,no,,,Reads WorldAtmosphere temperature and AtmosphereHelper.CalculateConvection (pure calculation) to derive a convection factor. The actual heat transfer happens in Atmosphere.ReactWithCell (gated).
Assets.Scripts.Objects.Clothing/SuitBase.cs::ConvectionFactor,read,no,,,Null check on WorldAtmosphere then CalculateAdjustedConvectionFactor.
Assets.Scripts.Objects.Clothing/SuitBase.cs::GetLogicValue,read,no,,,TemperatureExternal / PressureExternal from WorldAtmosphere.
Assets.Scripts.Objects.Electrical/Battery.cs::OnAtmosphericTick,gated,yes,"AtmosphericsController.CloneGlobalAtmosphere(WorldGrid, 0L) (553)",,Heat only: every charged station battery outdoors clones a real cell each tick and adds 10..50 J (absolute) self-discharge heat. Side effect: keeps a real outdoor cell alive per battery.
Assets.Scripts.Objects.Electrical/CircuitHousing.cs::HaltAndCatchFire,gated,yes,"AtmosphericEventInstance.CloneGlobal(WorldGrid, MoleEnergy.Zero, spark: true) (248) -> CloneGlobalAtmosphere",,"Clones a real cell and sparks it (zero energy), then explodes. No gas created."
Assets.Scripts.Objects.Electrical/GasSensor.cs::(type),none,no,,,Field declaration: public Atmosphere WorldAtmosphere (stores the sample; see WRAPPER row).
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirIgnited,read,no,,,"Reads Sparked. | closure pass: L24 calls FindAtmosphere() to refresh the cached sample, then reads Sparked"
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirPressure,read,no,,,"Reads pressure. | closure pass: L33 calls FindAtmosphere() to refresh the cached sample, then reads pressure"
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirTemperature,read,no,,,"Reads temperature. | closure pass: L60 calls FindAtmosphere() to refresh the cached sample, then reads temperature"
Assets.Scripts.Objects.Electrical/GasSensor.cs::FindAtmosphere,read,no,,,"WorldAtmosphere = SampleGlobalAtmosphere(WorldGrid), once per frame on main thread. Stores the sample in a public field (WRAPPER). | closure pass: L192 declaration: stores SampleGlobalAtmosphere in the public field GasSensor.WorldAtmosphere (once per frame); every user in the class only reads"
Assets.Scripts.Objects.Electrical/GasSensor.cs::GasRatio,read,no,,,"AtmosphereHelper.GasRatio on the sample. | closure pass: L184 calls FindAtmosphere() to refresh the cached sample, then reads a gas ratio"
Assets.Scripts.Objects.Electrical/GasSensor.cs::GetPassiveTooltip,display,no,,,Tooltip text from the sample.
Assets.Scripts.Objects.Electrical/GasSensor.cs::PartialPressureO2,read,no,,,"Reads partial pressure. | closure pass: L69 calls FindAtmosphere() to refresh the cached sample, then reads O2 partial pressure"
Assets.Scripts.Objects.Electrical/GasSensor.cs::TotalMoles,read,no,,,"Reads TotalMoles of the 8000 L sample (per cell, not the tank). | closure pass: L42 calls FindAtmosphere() to refresh the cached sample, then reads total moles"
Assets.Scripts.Objects.Electrical/GasSensor.cs::VolumeOfLiquid,read,no,,,"Reads TotalVolumeLiquids of the sample; outdoors this is tank liquid scaled to one cell. | closure pass: L51 calls FindAtmosphere() to refresh the cached sample, then reads liquid volume"
Assets.Scripts.Objects.Electrical/HydroponicsAutomated.cs::GetPassiveTooltip,none,no,,,Name collision: Localization.GetInterface('WorldAtmosphere') string for a connector tooltip.
Assets.Scripts.Objects.Electrical/HydroponicsAutomated.cs::IsOperable,none,no,,,"Real member is property BreathingAtmosphere => InternalAtmosphere (L117): the device own real internal atmosphere, never the planet copy"
Assets.Scripts.Objects.Electrical/HydroponicsStation.cs::IsLitByGrowLight,none,no,,,Real member is property BreathingAtmosphere => null (L43): forces Plant.BreathingAtmosphere to fall through to WorldAtmosphere (see Plant rows)
Assets.Scripts.Objects.Electrical/Laptop.cs::GetLogicValue,read,no,,,TemperatureExternal / PressureExternal from WorldAtmosphere.
Assets.Scripts.Objects.Electrical/Laptop.cs::HaltAndCatchFire,gated,yes,"AtmosphericEventInstance.CloneGlobal(WorldGrid, MoleEnergy.Zero, spark: true) (329)",,"Clones a real cell and sparks it, explodes, destroys the laptop. No gas created."
Assets.Scripts.Objects.Electrical/OccupantAtmospherics.cs::GetPassiveTooltip,display,no,,,GameStrings.BreathingAtmosphere label plus tooltip of InternalAtmosphere
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::(type),none,no,,,"Field declaration: public Atmosphere WorldAtmosphere; filled from GetAtmosphereLocal, never the read-only copy."
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::DoShutdown,read,no,,,"Reads own WorldAtmosphere field (real cell or null); null => shutdown, so outdoors with no real cell the generator switches off whatever the planet pressure."
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::IsValidAtmosphere,read,no,,,Reads own WorldAtmosphere field (real cell or null). Absolute thresholds minimumPressure and min/max temperature.
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::OnAtmosphericTick,none,no,,,"WorldAtmosphere = GetAtmosphereLocal(WorldGrid) (221): a real cell or null, never the copy. Combustion is between pipe networks and the internal atmosphere only; outdoor air untouched."
Assets.Scripts.Objects.Electrical/SolidFuelGenerator.cs::SmeltResource,gated,yes,"AtmosphericsController.CloneGlobalAtmosphere(WorldGrid, 0L) (116)",,"Clones a real cell and passes it to ImportingThing.Smelt, which adds combustion gases (ore SpawnContents) to it. Item-content gas SOURCE into a real cell; reaches the planet through the mix. | closure pass: L118 hands the cloned real cell to ImportingThing.Smelt; the item Smelt then sees IsGlobalAtmosphere false and adds to that real cell"
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::HandlePressureCheck,gated,yes,"sample (484) used for pressure only; dump via CloneGlobalAtmosphere(WorldGrid, 0L).Add(ResetGasMixtures()) (498)",,Reads outdoor pressure for the burst check; on burst dumps the working gas into a cloned real cell.
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::OnAtmosphereClient,read,no,,,Client: reads sampled temperature for efficiency display.
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(WorldGrid, 0L) (418, 446)",,"Heat + gas: clones a real outdoor cell each tick, exchanges convection heat between it and the cold side (TransferEnergyTo on the real cell), and dumps working gas into a cloned cell when the canister is missing/broken. Keeps a real cell alive while running."
Assets.Scripts.Objects.Electrical/TurbineGenerator.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(ForwardGrid, 0L) / CloneGlobalAtmosphere(BackwardGrid, 0L) (149-150)",,Clones real cells on both sides every tick and EqualizeBothWays(All) between them. Two real cells kept alive per wind turbine wall outdoors.
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::(type),none,no,,,"L30 field declaration private Atmosphere _worldAtmosphere; private, only used in OnAtmosphericTick"
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::InitInternalAtmosphere,read,no,,,"Reads sampled temperature to initialise internal N2 (0.858 mol created, internal only)."
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::OnAtmosphericTick,bypass,yes,NONE,"accepted: heat only, as the powered fridge","HEAT SINK. _worldAtmosphere = SampleGlobalAtmosphere (219); when cooling, the energy removed from the interior is _worldAtmosphere.GasMixture.AddEnergy(energy2) (228): outdoors the copy is read-only (Mole.Energy setter checks ReadOnly) so up to HeatTransferJoulesPerTick = 1000 J/tick (absolute) is destroyed rather than reaching a cell or ExternalInputEnergyOffset. No gas. NRE if the sample is null. | closure pass: L228 _worldAtmosphere.GasMixture.AddEnergy(energy2) on an unguarded SampleGlobalAtmosphere: outdoors with no cell the rejected heat is silently dropped (Mole.Energy setter checks ReadOnly) and never reaches PAS.AddEnergy: a HEAT SINK, no gas. Formula cap HeatTransferJoulesPerTick = 1000 J/tick (absolute); in practice bounded by the 10 L internal atmosphere: a few kJ one-off pull-down from 293 K to GoalTemperature 142 K, then only the box convective leak-in. Negligible at planet scale"
Assets.Scripts.Objects.Electrical/WallCooler.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(WorldGrid, 0L) (98)",,Heat only: removes up to 1000 J/tick (absolute) x efficiency curve from a cloned real cell into the pipe network. Real cell kept alive while powered.
Assets.Scripts.Objects.Electrical/WallHeater.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(WorldGrid, 0L) (78); the sample at 76 only feeds IsAboveArmstrong",,"Heat only: adds HeatTransferJoulesPerTick (prefab value, absolute) to a cloned real cell and sparks it."
Assets.Scripts.Objects.Entities/Human.cs::BreathingAtmosphere,none,no,,,"Wrapper: helmet InternalAtmosphere when HasInternals && InternalsOn, else Entity.BreathingAtmosphere = WorldAtmosphere, which OUTDOORS with no cell is the read-only copy (SetWorldAtmosphere -> SampleGlobalAtmosphere, never clones). Setter writes helmet or WorldAtmosphere"
Assets.Scripts.Objects.Entities/Human.cs::FootStep,read,no,,,Footstep audio: local cell liquid depth (explicitly !IsGlobalAtmosphere) or GlobalAtmosphereLiquid.IsUnderGlobalLiquid. Global sea read.
Assets.Scripts.Objects.Entities/Human.cs::LifeDehydrate,read,no,,,Reads sampled temperature for hydration loss.
Assets.Scripts.Objects.Entities/Human.cs::PlayBreathAudio,read,no,,,Reads PartialPressureHelium for voice pitch
Assets.Scripts.Objects.Entities/Human.cs::PlayJumpBreathAudio,read,no,,,Reads PartialPressureHelium for voice pitch
Assets.Scripts.Objects.Entities/Human.cs::SoilingAtmosphere,read,no,,,Wrapper: suit InternalAtmosphere else WorldAtmosphere; sole consumer Entity.IsSoiled / IsAtmosphereSoiled only reads
Assets.Scripts.Objects.Entities/Human.cs::TakeBreath,bypass,yes,NONE (Entity.LifeBreathe clones only when BreathingAtmosphere == null; the read-only copy is non-null),"accepted: an unhelmeted human outdoors breathes out into the copy, at most 0.0024 mol of CO2 a tick","Human: Lungs.TakeBreath adds 0.5 x O2 consumed as CO2 to BreathingAtmosphere; Zrilian: adds 0.032 x methane consumed as N2O. Helmet off outdoors with no cell -> read-only copy -> exhaled gas destroyed: SINK of at most 0.0024 mol CO2 per tick per human (0.0048 * BreathingEfficiency * BreathingRate * 0.5). A per-breath quantity, only while unhelmeted outdoors. The O2 comes from the 6 L lungs, refilled by LifeBreathe Mix (known site). Absolute constant 0.0048 mol per breath"
Assets.Scripts.Objects.Entities/Human.cs::UpdateBreathingAudio,read,no,,,Null check only
Assets.Scripts.Objects.Entities/Human.cs::UpdateBreathingState,read,no,,,"Reads pressure, temperature, toxin partial pressures for the breathing sound state; absolute thresholds (PressureMaximumSafe, PressureMinimumSafe, -10 C / +80 C)"
Assets.Scripts.Objects.Entities/Npc.cs::NavigatePath,read,no,,,Reads WorldAtmosphere.Direction for wind push on NPC movement.
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::(type),none,no,,,L112 auto-property declaration ScannedAtmosphere {get; private set;}
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::GetScannedAtmosphere,read,no,,,"Chooses which atmosphere the tablet shows: the human's / own WorldAtmosphere or a target's internals. Returns it (WRAPPER; stored in public ScannedAtmosphere). | closure pass: L114 declaration; returns human/own WorldAtmosphere, cursor thing internal, or network atmosphere for display"
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::OnScreenUpdate,display,no,,,Reads ScannedAtmosphere.Mode to toggle the volume label
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::PrepareText,display,no,,,"Builds analyser text; Mode World and Global both label as room/world. | closure pass: Stores GetScannedAtmosphere() / WorldAtmosphere / IThermal.ThermalAtmosphere (= InternalAtmosphere or NetworkAtmosphere, never a sample) into ScannedAtmosphere and formats text; reads only"
Assets.Scripts.Objects.Items/AtmosphericItem.cs::LeakAir,gated,yes,"if (WorldAtmosphere == null || WorldAtmosphere.IsGlobalAtmosphere) WorldAtmosphere = CloneGlobalAtmosphere(WorldGrid, 0L) (191-193)",,"A leaking item equalises gas both ways with a real cell (cloned if needed), scaled by LeakRatio. Only runs when LeakRatio > 0."
Assets.Scripts.Objects.Items/BatteryCell.cs::OnPowerTick,read,no,,,HandleColdLoss reads temperature / HeatExchangeRatio of WorldAtmosphere to drain charge (_lossInCold 50). The energy is not added to the air.
Assets.Scripts.Objects.Items/Dynamite.cs::OnAtmosphericTick,gated,yes,"if (WorldAtmosphere == null || WorldAtmosphere.Mode == AtmosphereMode.Global) WorldAtmosphere = CloneGlobalAtmosphere(WorldGrid, 0L) (131-135)",,Clones a real cell EVERY tick for every dynamite item outdoors (even unarmed); if armed sparks it and adds EnergyReleasedPerTick 100 J (absolute).
Assets.Scripts.Objects.Items/FertilizedEgg.cs::GetExtendedText,display,no,,,Tooltip: temperature vs hatching range.
Assets.Scripts.Objects.Items/FertilizedEgg.cs::OnAtmosphericTick,read,no,,,Reads WorldAtmosphere temperature for viability / hatching.
