site,kind,mutates,guard,note
CONSTANT::PlanetaryAtmosphereSimulation.UPDATE_TO_VULCAN_VENUS_ATMO,none,no,,26973: saves older than this reset the planet on load.
CONSTANT::RoboticArmDockAtmos.PressurePerTick,none,no,,1 atm per tick pump rate against sampled outdoor air.
CONSTANT::TerraForming.DAYS_TO_GERMINATE,none,no,,"30 days, global vegetation (GlobalPlants) germination."
CONSTANT::Thing.MinimumIgnitionPressurePropane,none,no,,1.5 kPa absolute minimum outdoor gas pressure for things to burn.
CONSTANT::VendingMachineRefrigerated.HeatTransferJoulesPerTick,none,no,,1000 J/tick.
CONSTANT::WallCooler.HeatTransferJoulesPerTick,none,no,,1000 J/tick.
CONSTANT::WaterDevice.MinimumWorldPressure,none,no,,30 kPa outdoor pressure for water devices (intensive).
WRAPPER::AtmosAnalyser.GetScannedAtmosphere,none,no,,Returns WorldAtmosphere of the human or itself.
WRAPPER::AtmosAnalyser.ScannedAtmosphere,none,no,,Public property holding the GetScannedAtmosphere result (may be the copy).
WRAPPER::Atmosphere.PrepareDataMixInWorld,none,no,,"Stores the read-only copy in _mixingAtmos, _lowerNeighbour, _flatNeighbours, _verticalNeighbours; consumed by MixLiquids (unguarded), GiveLiquids / EqualizeLiquidsToNeighbours (guarded by CanGiveLiquidTo), SpawnLiquidSolverParticles (guarded), Take/Give (switched)."
WRAPPER::AtmosphericsController.HasAtmosphere,none,no,,"Bool only, built on the sample (IsActive)."
WRAPPER::AtmosphericsController.ReadonlyGlobalAtmosphere,none,no,,Static; returns PAS.ReadOnlyGlobal(grid) directly (always the copy).
WRAPPER::AtmosphericsController.SampleGlobalAtmosphere,none,no,,The sampler itself: GetAtmosphereLocal(grid) ?? PAS.ReadOnlyGlobal(grid).
WRAPPER::DynamicScrubber.GetFromCell,none,no,,"Stores a sampled neighbour atmosphere into WorldAtmosphere (lines 199, 207), later written to by ReleaseToAtmos."
WRAPPER::DynamicThing.SetWorldAtmosphere,none,no,,Stores SampleGlobalAtmosphere / crew module / parent internal into WorldAtmosphere.
WRAPPER::DynamicThing.Smelt,none,no,,"Not a return but a hand-off: ArcFurnace.WaitThenSmelt and GasCanister.Recycle pass a sampled atmosphere into the virtual Smelt(Atmosphere, ReagentMixture) chain; every override must keep its IsGlobalAtmosphere guard."
WRAPPER::DynamicThing.WorldAtmosphere,none,no,,Cached sample; slot children inherit the parent's WorldAtmosphere.
WRAPPER::Entity.BreathingAtmosphere,none,no,,Getter returns base.WorldAtmosphere; setter stores into it.
WRAPPER::Entity.SoilingAtmosphere,none,no,,"Protected; => base.WorldAtmosphere (Human overrides: suit internal, else base)."
WRAPPER::FridgePowered._worldAtmosphere,none,no,,Field storing the sample; only used in FridgePowered.OnAtmosphericTick.
WRAPPER::GasSensor.FindAtmosphere,none,no,,Stores the sample in the public field.
WRAPPER::GasSensor.WorldAtmosphere,none,no,,Public field filled by FindAtmosphere with the sample.
WRAPPER::Human.BreathingAtmosphere,none,no,,Forwards Entity.BreathingAtmosphere unless helmet internals are on.
WRAPPER::Ore.CentrifugeProcessUnit,none,no,,"Hands the sample to the virtual Smelt(localAtmosphere, ...); every Smelt override is a consumer. Same for Ice.Recycle, GasCanister.Recycle, Ice.HandleIceMelting."
WRAPPER::PlanetaryAtmosphereSimulation.GetGlobalGasMix,none,no,,"Returns the live tank object, mutable outside the lock."
WRAPPER::PlanetaryAtmosphereSimulation.GetGlobalGasMixCopy,none,no,,"Returns a GasMixture copy of the WHOLE tank (not per cell); a copy, but callers may treat it as a source."
WRAPPER::PlanetaryAtmosphereSimulation.ReadOnlyGlobal,none,no,,"Returns _readOnlyGlobal, or _readOnlySpace above SpaceHeight."
WRAPPER::Plant.BreathingAtmosphere,none,no,,Forwards tray atmosphere or base.WorldAtmosphere.
WRAPPER::RoadFlare.GetBurningAtmosphere,none,no,,"Returns parent internal or WorldAtmosphere, which can still be the read-only copy below Armstrong."
WRAPPER::RoboticArmDockAtmos.GetInputAtmos,none,no,,Private; docked vent pipe atmosphere or the sample; callers are logic reads only.
WRAPPER::StatusUpdates._atmosphere,none,no,,"NEW but closed: private field caching Human.BreathingAtmosphere (StatusUpdates.cs L87, set L1699); all uses in the class are reads (L662-695, L1700-1701); unreachable from outside the class, so it adds no census sites"
WRAPPER::SuitBase.BreathingAtmosphere,none,no,,Private; forwards ParentEntity.BreathingAtmosphere.
WRAPPER::VendingMachineRefrigerated._worldAtmosphere,none,no,,Private field holding the sample; only used in OnAtmosphericTick.
