site,client,reads,effect,evidence
Assets.Scripts.Atmospherics/Atmosphere.cs::MixData,both,none,none,field initializer Atmosphere.cs:213 runs in every Atmosphere ctor (clients too) but allocates only; MixData ctor called only at :2017/:2029/:2055 (server mix path); DisplayName :318-325 is a debug string
Assets.Scripts.Atmospherics/Atmosphere.cs::MixLiquids,server-only,n/a,none,Atmosphere.cs:1736 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::PrepareDataMixInWorld,server-only,n/a,none,Atmosphere.cs:1732 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::ReactWithCell,server-only,n/a,none,only caller AtmosphericsController.cs:259 AtmosphereJob <- AtmosphericsWorker.InternalReactionsTask:520 <- RunInternalReactionsJobs <- GameManager.cs:783 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::ReactWithStructures,server-only,n/a,none,only caller AtmosphericsController.cs:257 AtmosphereJob <- InternalReactionsTask <- GameManager.cs:783 if (RunSimulation); no overrides
Assets.Scripts.Atmospherics/Atmosphere.cs::RecachePressureAfterLiquidMix,server-only,n/a,none,Atmosphere.cs:1738 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::SpawnLiquidSolverParticles,server-only,n/a,none,Atmosphere.cs:1737 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::StateChange,server-only,n/a,none,AtmosphericsController.cs:260 AtmosphereJob (GameManager.cs:783); CombustorMachine.cs:163 and IndustrialCombustor.cs:280 in OnAtmosphericTick (GameManager.cs:787); PressureFedLiquidEngine.cs:75 OnPreAtmosphere <- AtmosphericsManager.ThingPreAtmosphere (GameManager.cs:772); all under RunSimulation
Assets.Scripts.Atmospherics/Atmosphere.cs::TakeAtmospherePortion,server-only,n/a,none,Atmosphere.cs:1770 TakeAtmospheresMixInWorld <- :1741 MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::TakeAtmospheresMixInWorld,server-only,n/a,none,Atmosphere.cs:1741 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::Temperature,both,mixed,every temperature read of the read-only copy (Mode Global) on a client returns the client's own shipped-tank temperature; synced cells return the host's value,"Atmosphere.cs:614 if (!NetworkManager.IsClient || Mode == Global) GasMixture.Temperature else _temperatureCachedClient (network value, :2583); getter used by HUD/tooltips/sensors"
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::CalculateEntropy,server-only,n/a,none,"callers Atmosphere.cs:2342 (ReactWithCell) and CalculateThingEntropy AtmosphereHelper.cs:463 <- Atmosphere.cs:2354/2383/2395 (ReactWithCell, GameManager.cs:783) and PipeRadiator.cs:50 OnAtmosphericTick (GameManager.cs:787)"
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::DoConvection,server-only,n/a,none,"callers Atmosphere.cs:2343/2384 (ReactWithCell, GameManager.cs:783 RunSimulation) and PipeRadiator.cs:51 OnAtmosphericTick (GameManager.cs:787 RunSimulation)"
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::DoEntropy,server-only,n/a,none,"callers Atmosphere.cs:2347/2357/2389/2398 (ReactWithCell, GameManager.cs:783) and PipeRadiator.cs:55 OnAtmosphericTick (GameManager.cs:787)"
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::IsSubmerged,both,mixed,"camera underwater state (and the breathing NoAir check that uses it) follows the client's shipped global sea height, not the host's; local liquid depth comes from synced cells","CameraController.cs:528 FixedUpdate (every machine); GlobalAtmosphereLiquid.IsUnderGlobalLiquid uses LiquidHeight from UpdateLiquid (GameManager.cs:746, unguarded) reading PAS.LiquidVolume/LiquidVolumeRatio set by the client's own TickPlanetarySimulation (PAS.cs:374-375)"
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::IsValidForNetworkSend,server-only,n/a,none,AtmosphericsManager.cs:228/241 SerializeOnJoinAction/SerialiseDeltaStateAction <- NetworkServer.cs:191 / FragmentHandler.cs:156 WriteStateImmediate (server send)
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::CalculateParticleAtmospheres,both,mixed,"none: reads only Direction; the read-only copy's Direction is never set (only real cells are mixed), so it is not tank-derived","AtmosphericsManager.ParticleThread :540-543, runs on any machine with a local player (ParentBrain)"
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::CloneGlobalAtmosphereThreadSafe,server-only,n/a,none,callers AtmosphereHelper.cs:545 DoConvection (server) and DynamicThing.cs:2211 / SmallGrid.cs:185 / Structure.cs:2267 OnFireTick <- AtmosphericsWorker ThingFireTick <- RunThingFireTickJobs GameManager.cs:764 RunSimulation
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::Deregister,both,synced-cell,"none: a removed synced cell's mix goes to PAS.GiveToGlobal, which returns immediately with IsGlobalInteraction false",client: DeserialiseDeltaState AtmosphericsManager.cs:881 AllAtmospheres.Remove -> DensePool.cs:153 OnRemoveFromPool -> Atmosphere.cs:3121 Deregister; PAS.cs:156 early return; server: CleanUp/ProcessMarkedForRemoval
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::ParticleMode,client,none,none,AtmosphericsManager.cs:125 inside ProcessAtmospheresClientAction <- ProcessAtmospheresClient:476 (client receive)
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::ProcessAtmospheresClient,client,own-planet,"client ticks its own shipped tank each server update: phase change, read-only copy rebuild, sea level (LiquidVolume) and temperature offsets all come from shipped air, so every no-cell outdoor reading and the sea render show the shipped planet; cloud tipping on that tank can also set CurrentWeatherEvent locally (WeatherManager.ScheduleWeatherEvent is unguarded)",AtmosphericsManager.cs:472 PAS.TickPlanetarySimulation; called from DeserialiseDeltaState:891 and DeserializeOnJoin:853 (client receive)
Assets.Scripts.Atmospherics/GasMixtureHelper.cs::Create,both,own-planet,builds the client's read-only copy and the sea-colour copy from the shipped tank at the shipped-air formula temperature,GlobalGasMix.cs:156 ToInstancedGasMixture <- PAS.cs:363 TickPlanetarySimulation (client via ProcessAtmospheresClient:472); PAS.cs:194 GetGlobalGasMixCopy <- LiquidSolver.cs:322/365 (GameManager.cs:808 unguarded)
Assets.Scripts.Atmospherics/LiquidSolver.cs::BuildDistantGlobalWater,both,own-planet,"distant sea presence, height and colour follow the client's shipped tank: host's sea missing (or shipped one shown)","LiquidSolver.cs:301 PrepareLiquidRenderBatches <- GameManager.cs:808 (if !IsBatchMode, not RunSimulation); IsRendered/LiquidHeight from GlobalAtmosphereLiquid.UpdateLiquid (client's PAS.LiquidVolume)"
Assets.Scripts.Atmospherics/LiquidSolver.cs::BuildGlobalRenderBatches,both,own-planet,"near sea (25x25x4 around camera) presence, height and colour follow the client's shipped tank, not the host's","LiquidSolver.cs:302 PrepareLiquidRenderBatches <- GameManager.cs:808 (if !IsBatchMode, not RunSimulation)"
Assets.Scripts.Atmospherics/TerraForming.cs::GetGhgIndex,both,own-planet,"greenhouse term of the client's planet temperature is computed from shipped air, so outdoor no-cell temperature ignores the host's greenhouse changes",PAS.cs:395 CacheTemperatureCurveOffsets <- TickPlanetarySimulation (client via ProcessAtmospheresClient:472); GlobalGasMix.cs:551 GetGlobalGasMixTemperature <- GasMixtureHelper.Create:56
Assets.Scripts.GridSystem/Room.cs::CacheRoomData,server-only,n/a,none,only caller AtmosphericsWorker.CacheRoomDataTask:401 <- Room.RunCacheRoomDataJobs Room.cs:96 <- GameManager.cs:799 if (RunSimulation)
Assets.Scripts.Inventory/InventoryManager.cs::DebugContentsMethod,both,mixed,"debug gas list, shown only if the DebugContents text field is wired (prefab data, not visible); with helmet open and no cell it would list shipped-planet air","InventoryManager.cs:1324 ManagerUpdate (local player, every machine); Human.BreathingAtmosphere -> WorldAtmosphere when internals off"
Assets.Scripts.Inventory/InventoryManager.cs::HandleHeatHaze,both,mixed,helmet frost / heat-haze overlay uses shipped-planet pressure (Armstrong check) and temperature where no cell exists,"InventoryManager.cs:1325 ManagerUpdate per frame; Parent.WorldAtmosphere from DynamicThing.SetWorldAtmosphere (OcclusionManager, both)"
Assets.Scripts.Objects.Clothing.Suits/SuitModuleHelper.cs::HandleFilters,server-only,n/a,none,SuitBase.DoFilter:1134 <- EvaluateModules:1114 <- SuitBase.OnAtmosphericTick:1221; Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Clothing.Suits/SuitModuleHelper.cs::RegulatePressure,unreachable,n/a,none,no caller in the decompile; only the definition SuitModuleHelper.cs:60
Assets.Scripts.Objects.Clothing/AdvancedSuit.cs::GetLogicValue,both,mixed,TemperatureExternal/PressureExternal read on a client (config cartridge aimed at a logic transmitter linked to the suit) show the shipped planet where no cell exists,"server: IC chip Execute gated RunSimulation (AdvancedSuit.cs:279) and logic; client: ConfigCartridge.ReadLogicText:71 <- Cartridge.OnMainTick <- CartridgeManager.CartridgeTick (GameManager.cs:802, unguarded) -> LogicTransmitter.GetLogicValue:238 -> ITransmitable.GetLogicValue"
Assets.Scripts.Objects.Clothing/SuitBase.cs::CalculateAdjustedConvectionFactor,server-only,n/a,none,"only caller SuitBase.ConvectionFactor:424 when WorldAtmosphere non-null; live readers of ConvectionFactor are Atmosphere.cs:2339 and AtmosphereHelper.cs:494 CalculateThingConvection (ReactWithCell / PipeRadiator, server); Stationpedia reads prefabs whose WorldAtmosphere is null"
Assets.Scripts.Objects.Clothing/SuitBase.cs::ConvectionFactor,both,none,none,client reach only Stationpedia.cs:2021 on a prefab (WorldAtmosphere null -> returns 0); live reads in ReactWithCell / CalculateThingConvection are server-only
Assets.Scripts.Objects.Clothing/SuitBase.cs::GetLogicValue,both,mixed,TemperatureExternal/PressureExternal read on a client (config cartridge aimed at a logic transmitter linked to the suit) show the shipped planet where no cell exists,"server: IC chip Execute gated RunSimulation (SuitBase.cs:1560) and logic; client: ConfigCartridge.ReadLogicText:71 <- Cartridge.OnMainTick <- CartridgeManager.CartridgeTick (GameManager.cs:802, unguarded) -> LogicTransmitter.GetLogicValue:238 -> ITransmitable.GetLogicValue"
Assets.Scripts.Objects.Electrical/Battery.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Electrical/CircuitHousing.cs::HaltAndCatchFire,server-only,n/a,none,only via ProgrammableChip._HCF_Operation:4718 -> HaltAndCatchFire:6629; a housing's chip runs only from CircuitHousing.Execute:320 (RunSimulation) <- CircuitHolders.Execute <- ElectricityManager.ElectricityTick:120 (GameManager.cs:795 RunSimulation)
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirIgnited,both,mixed,none: the read-only copy is never sparked on either side; synced cells carry the host's value,"GetLogicValue(Combustion) <- ConfigCartridge.ReadLogicText:71 <- CartridgeManager.CartridgeTick (GameManager.cs:802, unguarded); server: logic/LogicCondition"
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirPressure,both,mixed,gas display console and config cartridge on a client show shipped-planet pressure for an outdoor sensor with no cell,"GasDisplay.OnThreadUpdate :205-207 <- OcclusionManager.cs:246 (non-batch, local player; both); GetLogicValue(Pressure) <- ConfigCartridge (GameManager.cs:802 unguarded)"
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirTemperature,both,mixed,gas display console and config cartridge on a client show shipped-planet temperature for an outdoor sensor with no cell,GasDisplay.OnThreadUpdate :268-270 <- OcclusionManager.cs:246 (both); GetLogicValue(Temperature) <- ConfigCartridge (GameManager.cs:802 unguarded)
Assets.Scripts.Objects.Electrical/GasSensor.cs::FindAtmosphere,both,mixed,"client-side sample is the synced cell or the client's shipped copy; the WorldAtmosphere field is per-machine, not networked","called by every GasSensor property/GasRatio, reached on clients via GasDisplay.OnThreadUpdate (OcclusionManager.cs:246) and ConfigCartridge (GameManager.cs:802)"
Assets.Scripts.Objects.Electrical/GasSensor.cs::GasRatio,both,mixed,gas ratios read on a client's config cartridge are the shipped air composition for an outdoor sensor with no cell,"GetLogicValue(Ratio*) <- ConfigCartridge.ReadLogicText:71 <- CartridgeManager.CartridgeTick (GameManager.cs:802, unguarded)"
Assets.Scripts.Objects.Electrical/GasSensor.cs::GetPassiveTooltip,both,mixed,"tooltip shows the client's own last sample (shipped planet where no cell), or no readings if nothing on the client sampled the sensor",InventoryManager.cs:2029 cursor tooltip (local UI); reads the per-machine WorldAtmosphere field without refreshing it
Assets.Scripts.Objects.Electrical/GasSensor.cs::PartialPressureO2,server-only,n/a,none,only reader AirControl.CalculatePressure:533 <- AirControl.OnAtmosphericTick:550; Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation); not exposed through GetLogicValue
Assets.Scripts.Objects.Electrical/GasSensor.cs::TotalMoles,both,mixed,TotalMoles on a client's config cartridge is the shipped per-cell moles for an outdoor sensor with no cell,"GetLogicValue(TotalMoles) <- ConfigCartridge.ReadLogicText:71 <- CartridgeManager.CartridgeTick (GameManager.cs:802, unguarded)"
Assets.Scripts.Objects.Electrical/GasSensor.cs::VolumeOfLiquid,both,mixed,"none: the read-only copy is built gas-only (PAS.cs:363 ToInstancedGasMixture = MatterState.Gas), so a no-cell sensor reads 0 on both sides; synced cells carry the host's value","GetLogicValue(VolumeOfLiquid) <- ConfigCartridge.ReadLogicText:71 <- CartridgeManager.CartridgeTick (GameManager.cs:802, unguarded)"
Assets.Scripts.Objects.Electrical/Laptop.cs::GetLogicValue,both,mixed,TemperatureExternal/PressureExternal read on a client (config cartridge aimed at a logic transmitter linked to the laptop) show the shipped planet where no cell exists,"server: IC/logic reads; client: ConfigCartridge.ReadLogicText:71 <- Cartridge.OnMainTick <- CartridgeManager.CartridgeTick (GameManager.cs:802, unguarded) -> LogicTransmitter.GetLogicValue:238 -> ITransmitable.GetLogicValue (Laptop is ITransmitable, Laptop.cs:384-385)"
Assets.Scripts.Objects.Electrical/Laptop.cs::HaltAndCatchFire,server-only,n/a,none,Laptop.cs:316 if (!GameManager.RunSimulation) return
Assets.Scripts.Objects.Electrical/OccupantAtmospherics.cs::GetPassiveTooltip,both,synced-other,none,"InventoryManager.cs:2029 cursor tooltip (local UI); reads the device's own InternalAtmosphere (synced thing atmosphere), no planet"
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::DoShutdown,server-only,n/a,none,only use PowerGeneratorPipe.cs:253 in OnAtmosphericTick; Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::IsValidAtmosphere,both,none,"none from the planet: the WorldAtmosphere field is set only in OnAtmosphericTick (server), so on clients it is null and the tooltip always shows the 'requires an atmosphere' line (vanilla, tank-independent)",PowerGeneratorPipe.cs:210 GetPassiveTooltip (client cursor tooltip); field set only at :221 in OnAtmosphericTick (GameManager.cs:787)
Assets.Scripts.Objects.Electrical/SolidFuelGenerator.cs::SmeltResource,server-only,n/a,none,only caller SolidFuelGenerator.cs:98 in OnAtmosphericTick:75; Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::HandlePressureCheck,server-only,n/a,none,only caller StirlingEngine.cs:461 in OnAtmosphericTick; Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::OnAtmosphereClient,client,mixed,"'operating efficiency' % (tooltip, EnvironmentEfficiency logic) uses shipped-planet temperature only if no synced cell exists at the engine; the server clones a real cell there every running tick (StirlingEngine.cs:446), so usually the host's","Atmosphere.cs:2595 in Atmosphere.Read (client network receive, Mode Thing) -> Thing.OnAtmosphereClient"
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Electrical/TurbineGenerator.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::InitInternalAtmosphere,server-only,n/a,none,"callers Thing.cs:2287/2328 Create (if RunSimulation), :2868 OnFinishedLoad (if RunSimulation), :4757 AssignInternalAtmosphereOnLoad <- XmlSaveLoad.cs:1097 (save load on host)"
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Electrical/WallCooler.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Electrical/WallHeater.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only called by AtmosphericsManager.cs:95 ThingAtmosphereTickAction <- ThingAtmosphereTick <- GameManager.cs:787 if (RunSimulation)
Assets.Scripts.Objects.Entities/Human.cs::FootStep,both,mixed,"deep-water footstep sound follows the client's shipped global sea height (IsUnderGlobalLiquid), not the host's; local water from synced cells","animation event, fires on every machine; Human.cs:996-997 (explicitly skips the read-only copy, uses GlobalAtmosphereLiquid from the client's tank)"
Assets.Scripts.Objects.Entities/Human.cs::LifeDehydrate,server-only,n/a,none,Entity.OnLifeTick:1053 <- AtmosphericsManager.LifeTicksTick:749 <- GameManager.cs:789 if (RunSimulation) (only caller)
Assets.Scripts.Objects.Entities/Human.cs::PlayBreathAudio,both,mixed,helium voice pitch with helmet open uses shipped air where no cell exists,"Human.cs:1077 UpdateBreathingAudio <- UpdateEachFrame:3464 (HasAuthority && _isBreathingAudio, local player only); OnNetworkCollision :2053/2070/2091 if HasAuthority"
Assets.Scripts.Objects.Entities/Human.cs::PlayJumpBreathAudio,both,mixed,helium voice pitch on jump/land with helmet open uses shipped air where no cell exists,"Human.cs:568/573/590 Jump/Grounded setters; active only when _isBreathingAudio (local player, WaitStartBreathAudio)"
Assets.Scripts.Objects.Entities/Human.cs::SoilingAtmosphere,both,mixed,"none: the read-only copy is gas-only, so its PollutedWater ratio is 0 on host and client alike","Entity.IsSoiled:599 <- MovementController.cs:565 (local movement), StatusUpdates.cs:1044/1952 (local UI)"
Assets.Scripts.Objects.Entities/Human.cs::TakeBreath,server-only,n/a,none,Entity.LifeBreathe:1227 <- OnLifeTick <- AtmosphericsManager.LifeTicksTick:749 <- GameManager.cs:789 if (RunSimulation)
Assets.Scripts.Objects.Entities/Human.cs::UpdateBreathingAudio,both,none,none,"Human.cs:3464 UpdateEachFrame (HasAuthority && _isBreathingAudio, local player); itself only null-checks, planet reads are in UpdateBreathingState/PlayBreathAudio"
Assets.Scripts.Objects.Entities/Human.cs::UpdateBreathingState,both,mixed,"breathing sound state (low pressure, stressed, no air, toxin) with helmet open follows shipped-planet air where no cell exists",Human.cs:1076 UpdateBreathingAudio <- UpdateEachFrame:3464 (local player); OnNetworkCollision :2052/2069/2090; BreathingAtmosphere = WorldAtmosphere when internals off (Human.cs:785)
Assets.Scripts.Objects.Entities/Npc.cs::NavigatePath,server-only,n/a,none,Npc.PhysicsUpdate Npc.cs:88 if (RunSimulation); Animal.PhysicsUpdate Animal.cs:123 if (RunSimulation) -> PerformState -> NavigatePath
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::GetScannedAtmosphere,both,mixed,"tablet atmos analyser shows shipped planet air (pressure, temperature, gases) outdoors where no synced cell exists","AtmosAnalyser.cs:259 PrepareText <- :440 OnScreenUpdate <- Cartridge.cs:143 UpdateEachFrame <- GameManager.cs:1503 Update (per frame, no RunSimulation); returns human/own WorldAtmosphere = SampleGlobalAtmosphere (DynamicThing.cs:1265/1268), refreshed unguarded by OcclusionManager.cs:206/212"
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::OnScreenUpdate,both,mixed,renders PrepareText's values (shipped planet air where no cell); its own Mode check at :493 matches host since cell existence is synced,"Cartridge.cs:143 UpdateEachFrame <- GameManager.cs:1503 Update (per frame, no RunSimulation)"
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::PrepareText,both,mixed,"analyser pressure, temperature and composition of outdoor air come from the client's shipped planet copy where no cell exists","AtmosAnalyser.cs:440 OnScreenUpdate <- Cartridge.cs:143 UpdateEachFrame <- GameManager.cs:1503 Update (per frame, no RunSimulation); ScannedAtmosphere from :259/:268 WorldAtmosphere"
Assets.Scripts.Objects.Items/AtmosphericItem.cs::LeakAir,server-only,n/a,none,only caller AtmosphericItem.cs:202 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/BatteryCell.cs::OnPowerTick,server-only,n/a,none,only callers ElectricityManager.cs:30 IPoweredThingsAction <- ElectricityTick returns if !RunSimulation (:112); called GameManager.cs:795 in RunSimulation block
Assets.Scripts.Objects.Items/Dynamite.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/FertilizedEgg.cs::GetExtendedText,both,mixed,egg tooltip says too hot / too cold from shipped planet temperature when the egg sits outdoors with no cell; hatching itself is decided on host,"tooltip UI: PanelToolTip.cs:61 RefreshText, PassiveTooltip.cs:76, Thing.cs:3983 (no guard); reads WorldAtmosphere FertilizedEgg.cs:122-123"
Assets.Scripts.Objects.Items/FertilizedEgg.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/FireExtinguisher.cs::OnAtmosphericTick,server-only,n/a,none,"sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777); side effect: host clones a real cell at the holder every tick (FireExtinguisher.cs:78), which is synced to clients"
