site,lines,symbols,why
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::OnAtmosphericTick,228,SampleGlobalAtmosphere _worldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Entities/Human.cs::BreathingAtmosphere,781 787 799,BreathingAtmosphere WorldAtmosphere,new site
Assets.Scripts.Objects.Entities/Human.cs::PlayBreathAudio,1173,BreathingAtmosphere,new site
Assets.Scripts.Objects.Entities/Human.cs::PlayJumpBreathAudio,1277,BreathingAtmosphere,new site
Assets.Scripts.Objects.Entities/Human.cs::SoilingAtmosphere,808 815,SoilingAtmosphere,new site
Assets.Scripts.Objects.Entities/Human.cs::TakeBreath,2914 2920,BreathingAtmosphere,new site
Assets.Scripts.Objects.Entities/Human.cs::UpdateBreathingAudio,1039,BreathingAtmosphere,new site
Assets.Scripts.Objects.Entities/Human.cs::UpdateBreathingState,1083 1104 1108 1115 1120 1136,BreathingAtmosphere,new site
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::(type),112,ScannedAtmosphere,new site
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::GetScannedAtmosphere,114,GetScannedAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::OnScreenUpdate,493,ScannedAtmosphere,new site
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::PrepareText,259 260 263 270 284 286 290 301 302 306,AtmosphereMode.Global ScannedAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/FuelIngot.cs::Smelt,49 70,CloneGlobalAddGasMix IsGlobalAtmosphere SampleGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/GasCanister.cs::Recycle,299,SampleGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/GasCanister.cs::Smelt,283 293,CloneGlobalAddGasMix IsGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/Ice.cs::HandleIceMelting,182,SampleGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/Ice.cs::Recycle,151,SampleGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/Ore.cs::Smelt,95 128,CloneGlobalAddGasMix IsGlobalAtmosphere SampleGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/Plant.cs::BreathingAtmosphere,352 357 361,BreathingAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/Plant.cs::DoPlantBreathOut,1187 1188,BreathingAtmosphere,new site
Assets.Scripts.Objects.Items/Plant.cs::DoPlantBreathOutEndothermic,1194 1195 1227 1228 1229,BreathingAtmosphere,new site
Assets.Scripts.Objects.Items/Plant.cs::OnAtmosphericTick,1235 1255 1257,BreathingAtmosphere,new site
Assets.Scripts.Objects.Items/Plant.cs::TakePlantBreath,1123 1129 1130 1131 1132 1133 1134 1140 1142 1145,BreathingAtmosphere,new site
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::GasRequirementInfo,30 32 33,BreathingAtmosphere,new site
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::GenerateInfoStrings,240 258 262,BreathingAtmosphere,new site
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::ToxicGasInfo,64 66 67,BreathingAtmosphere,new site
Assets.Scripts.Objects.Items/PureIce.cs::HandleIceMelting,60,SampleGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/PureIce.cs::Smelt,64,CloneGlobalAddGasMix IsGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/RoadFlare.cs::GetBurningAtmosphere,149,AtmosphereMode.Global CloneGlobalAtmosphere GetBurningAtmosphere ReadonlyGlobalAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Items/SpaceOre.cs::Smelt,52,Smelt,new site
Assets.Scripts.Objects.Items/Stackable.cs::Smelt,98,Smelt,new site
Assets.Scripts.Objects.Pipes/CryoTube.cs::GetPassiveTooltip,345,BreathingAtmosphere,new site
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Ignite,374,Smelt,new site
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::OnServerImportTick,519,Smelt,new site
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Smelt,484 486,Smelt,new site
Assets.Scripts.Objects.Pipes/HydroponicTray.cs::(type),35,BreathingAtmosphere,new site
Assets.Scripts.Objects.Pipes/HydroponicsTrayDevice.cs::IsLitByGrowLight,60,BreathingAtmosphere,new site
Assets.Scripts.Objects.Pipes/IGrower.cs::(type),15,BreathingAtmosphere,new site
Assets.Scripts.Objects.Pipes/IceCrusher.cs::OnServerImportTick,284,Smelt,new site
Assets.Scripts.Objects.Pipes/IndustrialBurner.cs::OnServerImportTick,522,Smelt,new site
Assets.Scripts.Objects.Pipes/PipeHeater.cs::(type),17,_worldAtmosphere,new site
Assets.Scripts.Objects.Pipes/PipeRadiator.cs::(type),11,_worldAtmosphere,new site
Assets.Scripts.Objects/DynamicGasCanister.cs::OnAtmosphericTick,335,CloneGlobalAtmosphere SampleGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects/DynamicGasCanister.cs::Smelt,321 323,Smelt,new site
Assets.Scripts.Objects/DynamicHydroponics.cs::(type),17,BreathingAtmosphere,new site
Assets.Scripts.Objects/DynamicThing.cs::OnCollisionEnterEvent,97,_worldAtmosphere,new site
Assets.Scripts.Objects/DynamicThing.cs::PhysicsUpdate,2093,GlobalAtmosphereLiquid WorldAtmosphere _worldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects/DynamicThing.cs::SetWorldAtmosphere,1243,SampleGlobalAtmosphere SetWorldAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects/DynamicThing.cs::Smelt,1147 1153,Smelt,new site
Assets.Scripts.Objects/DynamicThing.cs::WorldAtmosphere,406 410 412 414 418,WorldAtmosphere _worldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects/Entity.cs::BreathingAtmosphere,307 315,BreathingAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects/Entity.cs::IsSoiled,599,SoilingAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects/Entity.cs::LifeBreathe,1223 1237 1239 1241 1245,BreathingAtmosphere CloneGlobalAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects/Entity.cs::TakeBreath,1203,BreathingAtmosphere,new site
Assets.Scripts.Objects/Item.cs::Smelt,363 373,CloneGlobalRemoveEnergy IsGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.UI/PlayerStateWindow.cs::Update,414 421,BreathingAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.UI/StatusUpdates.cs::OxygenTooltip,2018,BreathingAtmosphere,new site
Assets.Scripts.UI/StatusUpdates.cs::RefreshAtmosphereValues,1699,BreathingAtmosphere,new site
Assets.Scripts.UI/StatusUpdates.cs::StunTooltip,2164,BreathingAtmosphere,new site
Assets.Scripts/AtmosphericsController.cs::ReadonlyGlobalAtmosphere,103,PlanetaryAtmosphereSimulation ReadOnlyGlobal ReadonlyGlobalAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts/OcclusionManager.cs::(type),206 214 257,AtmosphericsController.HasAtmosphere SetWorldAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Objects.Electrical/FridgePowered.cs::(type),23,_worldAtmosphere,new site
Objects.Electrical/FridgePowered.cs::OnAtmosphericTick,65,SampleGlobalAtmosphere _worldAtmosphere,known site: ONLY these newly matched lines need a verdict
Objects.Items/Consumable.cs::Smelt,145,CloneGlobalRemoveEnergy IsGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Objects.RoboticArm/RoboticArmDockAtmos.cs::GetInputAtmos,531,GetInputAtmos SampleGlobalAtmosphere,known site: ONLY these newly matched lines need a verdict
Objects/WindTurbineGenerator.cs::GetWorldAtmospherePressure,201,ReadonlyGlobalAtmosphere,new site
Trading/NetworkCondition.cs::Evaluate,29 35 41,ScannedAtmosphere,new site
Trading/ThingPrefabCondition.cs::Evaluate,44,ScannedAtmosphere,new site
