site,kind,mutates,guard,note
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::CalculateEntropy,read,no,,"Reads ReadonlyGlobalAtmosphere temperature (floor 50 K if < 1 K) as the radiation sink temperature; returns an energy and mutates nothing (DoEntropy does, via switched PAS.AddEnergy). Absolute: 50 K floor, PressureMinimumSafe lerp, clamp to TotalEnergy/2"
Assets.Scripts.Inventory/InventoryManager.cs::DebugContentsMethod,display,no,,"Debug gas list of Parent.BreathingAtmosphere"
Assets.Scripts.Localization2/GameStrings.cs::(type),none,no,,"GameString named BreathingAtmosphere (Occupant Atmosphere): name collision"
Assets.Scripts.Objects.Clothing/SuitBase.cs::BreathingAtmosphere,none,no,,"Private property forwarding ParentEntity.BreathingAtmosphere (else own InternalAtmosphere); nothing in SuitBase references it: dead code"
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirIgnited,read,no,,"L24 calls FindAtmosphere() to refresh the cached sample, then reads Sparked"
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirPressure,read,no,,"L33 calls FindAtmosphere() to refresh the cached sample, then reads pressure"
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirTemperature,read,no,,"L60 calls FindAtmosphere() to refresh the cached sample, then reads temperature"
Assets.Scripts.Objects.Electrical/GasSensor.cs::FindAtmosphere,read,no,,"L192 declaration: stores SampleGlobalAtmosphere in the public field GasSensor.WorldAtmosphere (once per frame); every user in the class only reads"
Assets.Scripts.Objects.Electrical/GasSensor.cs::GasRatio,read,no,,"L184 calls FindAtmosphere() to refresh the cached sample, then reads a gas ratio"
Assets.Scripts.Objects.Electrical/GasSensor.cs::PartialPressureO2,read,no,,"L69 calls FindAtmosphere() to refresh the cached sample, then reads O2 partial pressure"
Assets.Scripts.Objects.Electrical/GasSensor.cs::TotalMoles,read,no,,"L42 calls FindAtmosphere() to refresh the cached sample, then reads total moles"
Assets.Scripts.Objects.Electrical/GasSensor.cs::VolumeOfLiquid,read,no,,"L51 calls FindAtmosphere() to refresh the cached sample, then reads liquid volume"
Assets.Scripts.Objects.Electrical/HydroponicsAutomated.cs::IsOperable,none,no,,"Real member is property BreathingAtmosphere => InternalAtmosphere (L117): the device own real internal atmosphere, never the planet copy"
Assets.Scripts.Objects.Electrical/HydroponicsStation.cs::IsLitByGrowLight,none,no,,"Real member is property BreathingAtmosphere => null (L43): forces Plant.BreathingAtmosphere to fall through to WorldAtmosphere (see Plant rows)"
Assets.Scripts.Objects.Electrical/OccupantAtmospherics.cs::GetPassiveTooltip,display,no,,"GameStrings.BreathingAtmosphere label plus tooltip of InternalAtmosphere"
Assets.Scripts.Objects.Electrical/SolidFuelGenerator.cs::SmeltResource,gated,yes,"CloneGlobalAtmosphere(base.WorldGrid, 0L) (L116): always a real cell","L118 hands the cloned real cell to ImportingThing.Smelt; the item Smelt then sees IsGlobalAtmosphere false and adds to that real cell"
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::(type),none,no,,"L30 field declaration private Atmosphere _worldAtmosphere; private, only used in OnAtmosphericTick"
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::OnAtmosphericTick,bypass,yes,NONE,"L228 _worldAtmosphere.GasMixture.AddEnergy(energy2) on an unguarded SampleGlobalAtmosphere: outdoors with no cell the rejected heat is silently dropped (Mole.Energy setter checks ReadOnly) and never reaches PAS.AddEnergy: a HEAT SINK, no gas. Formula cap HeatTransferJoulesPerTick = 1000 J/tick (absolute); in practice bounded by the 10 L internal atmosphere: a few kJ one-off pull-down from 293 K to GoalTemperature 142 K, then only the box convective leak-in. Negligible at planet scale"
Assets.Scripts.Objects.Entities/Human.cs::BreathingAtmosphere,none,no,,"Wrapper: helmet InternalAtmosphere when HasInternals && InternalsOn, else Entity.BreathingAtmosphere = WorldAtmosphere, which OUTDOORS with no cell is the read-only copy (SetWorldAtmosphere -> SampleGlobalAtmosphere, never clones). Setter writes helmet or WorldAtmosphere"
Assets.Scripts.Objects.Entities/Human.cs::PlayBreathAudio,read,no,,"Reads PartialPressureHelium for voice pitch"
Assets.Scripts.Objects.Entities/Human.cs::PlayJumpBreathAudio,read,no,,"Reads PartialPressureHelium for voice pitch"
Assets.Scripts.Objects.Entities/Human.cs::SoilingAtmosphere,read,no,,"Wrapper: suit InternalAtmosphere else WorldAtmosphere; sole consumer Entity.IsSoiled / IsAtmosphereSoiled only reads"
Assets.Scripts.Objects.Entities/Human.cs::TakeBreath,bypass,yes,"NONE (Entity.LifeBreathe clones only when BreathingAtmosphere == null; the read-only copy is non-null)","Human: Lungs.TakeBreath adds 0.5 x O2 consumed as CO2 to BreathingAtmosphere; Zrilian: adds 0.032 x methane consumed as N2O. Helmet off outdoors with no cell -> read-only copy -> exhaled gas destroyed: SINK of at most 0.0024 mol CO2 per tick per human (0.0048 * BreathingEfficiency * BreathingRate * 0.5). A per-breath quantity, only while unhelmeted outdoors. The O2 comes from the 6 L lungs, refilled by LifeBreathe Mix (known site). Absolute constant 0.0048 mol per breath"
Assets.Scripts.Objects.Entities/Human.cs::UpdateBreathingAudio,read,no,,"Null check only"
Assets.Scripts.Objects.Entities/Human.cs::UpdateBreathingState,read,no,,"Reads pressure, temperature, toxin partial pressures for the breathing sound state; absolute thresholds (PressureMaximumSafe, PressureMinimumSafe, -10 C / +80 C)"
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::(type),none,no,,"L112 auto-property declaration ScannedAtmosphere {get; private set;}"
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::GetScannedAtmosphere,read,no,,"L114 declaration; returns human/own WorldAtmosphere, cursor thing internal, or network atmosphere for display"
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::OnScreenUpdate,display,no,,"Reads ScannedAtmosphere.Mode to toggle the volume label"
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::PrepareText,display,no,,"Stores GetScannedAtmosphere() / WorldAtmosphere / IThermal.ThermalAtmosphere (= InternalAtmosphere or NetworkAtmosphere, never a sample) into ScannedAtmosphere and formats text; reads only"
Assets.Scripts.Objects.Items/FuelIngot.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) -> AtmosphericEventInstance.CloneGlobalAddGasMix (L51-55)","L49 declaration, L70 base.Smelt hand-off (Item.Smelt, itself guarded). Ingot gas goes to a cloned real cell. Temperature lerp 0.6 toward outdoor temperature: absolute"
Assets.Scripts.Objects.Items/GasCanister.cs::Recycle,gated,yes,"callee GasCanister.Smelt guards IsGlobalAtmosphere -> CloneGlobalAddGasMix (L285-287)","L299 hands an unguarded sample to Smelt; Smelt releases the canister contents into a cloned real cell. One-off per recycled canister"
Assets.Scripts.Objects.Items/GasCanister.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalAddGasMix else CreateAdd (L285-291)","L283 declaration, L293 base.Smelt -> Item.Smelt (guarded CloneGlobalRemoveEnergy). One-off dump of canister contents"
Assets.Scripts.Objects.Items/Ice.cs::HandleIceMelting,gated,yes,"callee Ore.Smelt / PureIce.Smelt guard IsGlobalAtmosphere -> CloneGlobalAddGasMix","L182 Smelt(atmosphere, ...) with an unguarded sample (or furnace internal). One stack unit per tick while melting; gas lands in a cloned real cell. Phase/temperature: MeltTemperature, WillMeltIce, HasLight. Latent NRE: Smelt(null) possible when no atmosphere and lit"
Assets.Scripts.Objects.Items/Ice.cs::Recycle,gated,yes,"callee Ore.Smelt guards IsGlobalAtmosphere -> CloneGlobalAddGasMix","L151 hands an unguarded sample to Smelt; one unit per recycle"
Assets.Scripts.Objects.Items/Ore.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) -> CloneGlobalAddGasMix (L108-113)","L95 declaration, L128 base.Smelt -> Stackable.Smelt (reagents and Quantity-- only). The re-sample at L110 is read for temperature only. Lerp 0.6 absolute"
Assets.Scripts.Objects.Items/Plant.cs::BreathingAtmosphere,none,no,,"Wrapper: ParentTray.BreathingAtmosphere if non-null else WorldAtmosphere. Every grower returns null except HydroponicsAutomated (InternalAtmosphere), so tray / portable / station plants breathe WorldAtmosphere = the read-only copy outdoors with no cell"
Assets.Scripts.Objects.Items/Plant.cs::DoPlantBreathOut,bypass,yes,NONE,"Real method DoPlantBreathOut. Plant outdoors (tray in open air, no real cell) -> read-only copy. BreathingAtmosphere.Add(exhaled) is dropped: exhaled gas destroyed (the SINK half of the pair). Amount = ExhaledGases.Quantity * breathedRatio * GasProduction = 0.0012 mol O2 per tick per plant in shipped data; bounded per plant, 100 plants is about 0.12 mol per tick. Absolute per-plant constant"
Assets.Scripts.Objects.Items/Plant.cs::DoPlantBreathOutEndothermic,bypass,yes,NONE,"Real method DoPlantBreathOutEndothermic (L1194-1229). Plant outdoors (tray in open air, no real cell) -> read-only copy. Add(gasMixture2) and GasMixture.RemoveEnergy(abs(ThermalPlantEnergy) * efficiency) are both dropped: exhaled O2/CH4 destroyed and the cooling never reaches the planet (no PAS.RemoveEnergy). Amount per tick per mature plant: min(90 J * efficiency / energy per mole, MolesDrunkLastTick); bounded by the water drunk per tick. Heat and gas"
Assets.Scripts.Objects.Items/Plant.cs::OnAtmosphericTick,read,no,,"Listed lines (L1235 null/BeingDestroyed check, L1255/L1257 harmful-gas partial pressures) only read; the mutation is in TakePlantBreath which it calls"
Assets.Scripts.Objects.Items/Plant.cs::TakePlantBreath,bypass,yes,"NONE (only null / BeingDestroyed checks, L1123)","Real method TakePlantBreath. Plant outdoors (tray in open air, no real cell) -> read-only copy. BreathingAtmosphere.Remove(gasMixture) RETURNS the inhaled moles without debiting: a free SOURCE feeding growth and BreathingEfficiency. Amount = InhaledGases.Quantity * clamp(ratio) * GasProduction = 0.0012 mol CO2 per tick per plant (shipped data; 0.0075 O2 + 0.0025 volatiles for the special plants). Bounded per plant. Reads temperature/pressure for efficiency curves (absolute plant thresholds)"
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::GasRequirementInfo,display,no,,"Reads plant.BreathingAtmosphere gas ratios for cartridge text"
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::GenerateInfoStrings,display,no,,"Reads plant.BreathingAtmosphere temperature and pressure for cartridge text"
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::ToxicGasInfo,display,no,,"Reads plant.BreathingAtmosphere partial pressures for cartridge text"
Assets.Scripts.Objects.Items/PureIce.cs::HandleIceMelting,gated,yes,"callee PureIce.Smelt guards IsGlobalAtmosphere -> CloneGlobalAddGasMix (L85-88)","L60 Smelt(atmosphere, ...) with an unguarded sample (or furnace internal); one unit per tick while melting"
Assets.Scripts.Objects.Items/PureIce.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalAddGasMix else CreateAdd (L85-92)","L64 declaration. First reads localAtmosphere.Temperature against MeltTemperature (phase threshold, TwentyDegrees absolute); MINIMUM_QUANTITY_MOLES cut-off; SpawnContents may be liquids"
Assets.Scripts.Objects.Items/RoadFlare.cs::GetBurningAtmosphere,gated,yes,"GetAtmosphereLocal, then Mode == Global && IsAboveArmstrong -> CloneGlobalAtmosphere (L155-161)","L149 declaration. Caller adds 1000 J per tick (absolute) and Sparked. Below Armstrong the Global copy can be returned but the caller also requires IsAboveArmstrong, so no write reaches the copy"
Assets.Scripts.Objects.Items/SpaceOre.cs::Smelt,none,no,,"Quantity-- only; atmosphere parameter unused"
Assets.Scripts.Objects.Items/Stackable.cs::Smelt,none,no,,"Adds reagents, Quantity--; atmosphere parameter unused"
Assets.Scripts.Objects.Pipes/CryoTube.cs::GetPassiveTooltip,display,no,,"GameStrings.BreathingAtmosphere label plus tooltip of InternalAtmosphere"
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Ignite,none,no,,"Hands the furnace own InternalAtmosphere to Ice.Smelt: a real thing atmosphere, never the planet copy"
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::OnServerImportTick,none,no,,"Calls Smelt(ImportingThing) -> InternalAtmosphere hand-off; no outdoor air"
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Smelt,none,no,,"bool Smelt(DynamicThing): dynamicThing.Smelt(InternalAtmosphere, ReagentMixture); internal atmosphere only"
Assets.Scripts.Objects.Pipes/HydroponicTray.cs::(type),none,no,,"Property BreathingAtmosphere => null: plant falls through to WorldAtmosphere (see Plant rows)"
Assets.Scripts.Objects.Pipes/HydroponicsTrayDevice.cs::IsLitByGrowLight,none,no,,"Real member is property BreathingAtmosphere => null (L60): plant falls through to WorldAtmosphere"
Assets.Scripts.Objects.Pipes/IGrower.cs::(type),none,no,,"Interface declaration of BreathingAtmosphere"
Assets.Scripts.Objects.Pipes/IceCrusher.cs::OnServerImportTick,none,no,,"Ice.Smelt(InternalAtmosphere, ...) plus CreateAddEnergy on InternalAtmosphere; internal only"
Assets.Scripts.Objects.Pipes/IndustrialBurner.cs::OnServerImportTick,none,no,,"Calls inherited FurnaceBase.Smelt(ImportingThing) -> InternalAtmosphere; internal only"
Assets.Scripts.Objects.Pipes/PipeHeater.cs::(type),none,no,,"L17 private field _worldAtmosphere declared and never referenced: dead"
Assets.Scripts.Objects.Pipes/PipeRadiator.cs::(type),none,no,,"L11 private field _worldAtmosphere declared and never referenced (the tick uses a local sample): dead"
Assets.Scripts.Objects/DynamicGasCanister.cs::OnAtmosphericTick,none,no,,"L335 Smelt(dynamicThing) for an Ice occupant -> own InternalAtmosphere; the outdoor parts of this member are already in the ledger"
Assets.Scripts.Objects/DynamicGasCanister.cs::Smelt,none,no,,"bool Smelt(DynamicThing): hands InternalAtmosphere; internal only"
Assets.Scripts.Objects/DynamicHydroponics.cs::(type),none,no,,"Property BreathingAtmosphere => null: plant falls through to WorldAtmosphere"
Assets.Scripts.Objects/DynamicThing.cs::OnCollisionEnterEvent,none,no,,"Real member is the field declaration private Atmosphere _worldAtmosphere (L97), backing store of WorldAtmosphere"
Assets.Scripts.Objects/DynamicThing.cs::PhysicsUpdate,read,no,,"L2093 reads _worldAtmosphere.LiquidVolumeRatio for buoyancy; global sea (GlobalAtmosphereLiquid) involved; absolute +0.075 offset"
Assets.Scripts.Objects/DynamicThing.cs::SetWorldAtmosphere,none,no,,"L1243 declaration. Stores crew-module / parent internal, parent WorldAtmosphere, or SampleGlobalAtmosphere (may be the read-only copy) in WorldAtmosphere; never clones"
Assets.Scripts.Objects/DynamicThing.cs::Smelt,none,no,,"Base virtual: forwards to the first slot occupant Smelt with the same atmosphere, else adds reagents; does not touch the atmosphere itself"
Assets.Scripts.Objects/DynamicThing.cs::WorldAtmosphere,none,no,,"Getter returns _worldAtmosphere, nulling it if IsInvalidWorld (Mode World only); the Global copy is never invalidated so it persists until the next SetWorldAtmosphere"
Assets.Scripts.Objects/Entity.cs::BreathingAtmosphere,none,no,,"Wrapper: get/set base.WorldAtmosphere (read-only copy outdoors with no cell)"
Assets.Scripts.Objects/Entity.cs::IsSoiled,read,no,,"IsAtmosphereSoiled(SoilingAtmosphere) reads mole totals/ratios only"
Assets.Scripts.Objects/Entity.cs::LifeBreathe,bypass,yes,"NONE effective: if (BreathingAtmosphere == null) -> CloneGlobalAtmosphere (L1223-1225) fires only on null and the read-only copy is non-null","Known bypass, the new lines confirm it: AtmosphereHelper.Mix(LungAtmosphere, BreathingAtmosphere) (L1241/L1245) Sets both sides; on the copy the outdoor half is ignored, so lungs are refilled from nowhere and lung CO2 vanishes: SOURCE and SINK. The formula rewrites the whole lung content every tick, but it is bounded by the 6 L lung volume (about 0.25 mol at 100 kPa) and the net flow equals metabolism: about 0.0048 mol O2 in and 0.0024 mol CO2 out per tick per unhelmeted entity outdoors. The MatterState.All branch cannot hit the copy (needs Mode World)"
Assets.Scripts.Objects/Entity.cs::TakeBreath,none,no,,"Entity.TakeBreath() passes LungAtmosphere.GasMixture.Oxygen and BreathingAtmosphere.GasMixture.CarbonDioxide BY VALUE (Mole is a struct, parameters are not ref): Remove/AddAtTemperature act on copies, so no gas changes anywhere; only AddEnergy(EnergyReleasedPerTick) on the real lungs. Human overrides it (see Human.TakeBreath)"
Assets.Scripts.Objects/Item.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalRemoveEnergy else CreateRemoveEnergy (L365-372)","L363 declaration, L373 base.Smelt forward. Removes smelting heat IdealGas.Energy(reagent heat capacity, FlashPointTemperature) from a cloned real cell: heat, one-off per item"
Assets.Scripts.UI/PlayerStateWindow.cs::Update,display,no,,"Reads BreathingAtmosphere temperature/pressure for the HUD"
Assets.Scripts.UI/StatusUpdates.cs::OxygenTooltip,display,no,,"Reads PartialPressureO2 for tooltip"
Assets.Scripts.UI/StatusUpdates.cs::RefreshAtmosphereValues,display,no,,"Caches Parent.BreathingAtmosphere in private field StatusUpdates._atmosphere; every use in the class reads pressure/temperature/toxins"
Assets.Scripts.UI/StatusUpdates.cs::StunTooltip,display,no,,"Reads PartialPressureNitrousOxide for tooltip"
Assets.Scripts/AtmosphericsController.cs::ReadonlyGlobalAtmosphere,none,no,,"L103 declaration: forwards PAS.ReadOnlyGlobal(new WorldGrid(grid)): always the read-only copy (or read-only space)"
Assets.Scripts/OcclusionManager.cs::(type),read,no,,"L206/L214 call dynamicThing.SetWorldAtmosphere() after moving the thing grid (refreshes the cached sample, no gas); L257 stores AtmosphericsController.HasAtmosphere(grid) bool in structure.HasAtmosphere"
Objects.Electrical/FridgePowered.cs::(type),none,no,,"L23 field declaration private Atmosphere _worldAtmosphere; private, only used in OnAtmosphericTick"
Objects.Electrical/FridgePowered.cs::OnAtmosphericTick,bypass,yes,NONE,"L65 _worldAtmosphere.GasMixture.AddEnergy(energy2) on an unguarded SampleGlobalAtmosphere: outdoors with no cell the rejected heat is silently dropped (Mole.Energy setter checks ReadOnly) and never reaches PAS.AddEnergy: a HEAT SINK, no gas. Formula cap HeatTransferJoulesPerTick = 1000 J/tick (absolute); in practice bounded by the small fridge internal atmosphere (1.72 mol N2, about 5 kJ one-off pull-down from 293 K to GoalTemperature 142 K), then only the box convective leak-in. Negligible at planet scale"
Objects.Items/Consumable.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalRemoveEnergy else CreateRemoveEnergy (L149-156)","L145 declaration. Heat removal from a cloned real cell, one unit per call"
Objects.RoboticArm/RoboticArmDockAtmos.cs::GetInputAtmos,none,no,,"L531 declaration: returns the docked vent pipe network atmosphere else an unguarded SampleGlobalAtmosphere at the arm vent; its callers are already in the ledger"
Objects/WindTurbineGenerator.cs::GetWorldAtmospherePressure,read,no,,"Returns ReadonlyGlobalAtmosphere pressure (0 in a room) for turbine output; power scales with planet pressure"
Trading/NetworkCondition.cs::Evaluate,read,no,,"Trader contract condition: checks ScannedAtmosphere.Mode == Network and its network type; read"
Trading/ThingPrefabCondition.cs::Evaluate,read,no,,"Trader contract condition: compares ScannedAtmosphere.Thing.PrefabHash; read"
WRAPPER::StatusUpdates._atmosphere,none,no,,"NEW but closed: private field caching Human.BreathingAtmosphere (StatusUpdates.cs L87, set L1699); all uses in the class are reads (L662-695, L1700-1701); unreachable from outside the class, so it adds no census sites"
WRAPPER::GasSensor.WorldAtmosphere,none,no,,"Public FIELD on GasSensor (L18) holding the FindAtmosphere sample; a different member from DynamicThing.WorldAtmosphere but already matched by the WorldAtmosphere symbol, so not new to the census"
CONSTANT::Atmosphere._mixSpeed,none,no,,"0.4 of each cell liquid mixed per tick (MixLiquids)"
CONSTANT::Atmosphere.MINIMUM_RATIO_TO_TAKE,none,no,,"1.2 pressure ratio above which a neighbour is not taken from"
CONSTANT::AtmosphericsManager.WorldAtmospheresCount(20000),none,no,,"hard cell-count cap above which neighbours are sampled (read-only copy) instead of cloned"
CONSTANT::FridgePowered.HeatTransferJoulesPerTick,none,no,,"1000 J per tick, GoalTemperature 142 K (same pair in VendingMachineRefrigerated)"
CONSTANT::Entity.BreathMoles(0.0048),none,no,,"mol O2 per breath per tick; CO2 return 0.5, Zrilian N2O return 0.032"
CONSTANT::Lungs.volume,none,no,,"6 L lung atmosphere mixed with BreathingAtmosphere each tick"
CONSTANT::AtmosphereHelper.CalculateEntropy(50K),none,no,,"radiation sink floor 50 K when planet temperature < 1 K"
