site,kind,mutates,guard,note
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::RemoveEnergy,gated,yes,IsGlobalInteraction switch (line 182),"Switched site: ExternalInputEnergyOffset -= energy (positive only). Heat counter; no floor, can go negative without limit."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Save,internal,no,,"Serialises tank, clouds, caps and both energy counters to PlanetaryAtmosphereSaveData."
Assets.Scripts/SpawnData.cs::(type),none,no,,"Name collision: XML element constant 'WorldAtmosphere' and List<WorldAtmosphereSpawnData> for scenario spawn data."
Assets.Scripts/SpawnData.cs::Add,none,no,,"Name collision: writes WorldAtmosphereSpawnData children to XML (editor export)."
Assets.Scripts/TraderContact.cs::EnvironmentRequirementMet,read,no,,"Samples air at landing pad; checks pressure in safe band, 0-50 C, toxins, O2 (or methane for Zrilian) partial pressure. Read only. No null check on the sample."
AtmosphericScattering.cs::ManagerUpdate,display,no,,"The 8th switched site: if PAS.IsGlobalInteraction, sky scattering follows the live planet air (UpdateAtmosphericScatteringToGlobalAtmosphere). Fog fades to 0 at camera y=1000 (absolute)."
AtmosphericScattering.cs::UpdateAtmosphericScatteringToGlobalAtmosphere,display,no,,"Reads ReadOnlyGlobal at grid zero, builds AtmosphericScatteringBlend, sets densities/ramps/skybox thickness; fog intensity scales with pressure/2 kPa clamped. Read only."
AtmosphericScatteringBlend.cs::(type),display,no,,"Ctor compares read-only cell TotalMolesGases with world XML per-cell total (fallback 40 mol per cell: absolute but per-cell, so volume-invariant); maps sky density 0..1x below, 1x..10x above. Read only."
AtmosphericsWorker.cs::CacheDataTask,read,no,,"UpdateCache on queued atmospheres; marks IsCachable unless IsGlobalAtmosphere. Flag only, no gas."
GlobalAtmosphereData.cs::(type),internal,no,,"World XML schema: base temperature curve, solar radiation/GHG/density offsets, start gas per cell, Volume default 4e10 L. TotalMolesGasses() sums per-cell quantities."
GlobalAtmosphereData.cs::GetGHGTemperatureOffset,read,no,,"Evaluates GHG day/night curve at ghg index. Pure."
GlobalAtmosphereData.cs::GetSolarDistanceTemperatureOffset,read,no,,"Evaluates solar radiation day/night curve at solar energy percent. Pure."
GlobalAtmosphereLiquid.cs::(type),read,no,,"Global sea state: RenderThreshold = 1.5e6 L * LiquidVolumeMultiplier evaluated ONCE at static init (tank null then => multiplier 1.0); heights 2..10 m, default -1000. Absolute litre threshold: at 0.05 volume the sea appears with 20x less liquid per cell."
GlobalAtmosphereLiquid.cs::IsUnderGlobalLiquid,read,no,,"pos.y < LiquidHeight and not in a room. Read only."
GlobalAtmosphereLiquid.cs::UpdateLiquid,read,no,,"IsRendered = PAS.LiquidVolume > 1.5e6 L (absolute); LiquidHeight = lerp(2, 10, LiquidVolumeRatio = liquid L / tank Volume) (relative). Sea is derived from tank liquid; does not change it."
GlobalTemperatureCurveOffset.cs::(type),read,no,,"Day/Night curve pair; day <70 deg, night >110 deg, eased between. Single-arg GetOffset throws NotImplementedException. Pure data."
GlobalTemperatureFloatOffset.cs::(type),read,no,,"Day/Night float pair, linear blend 70..110 deg; the type behind WeatherEvent.TemperatureOffset. Pure data."
Networks/AtmosphericsNetwork.cs::ApplyPressureDamageToWeakest,read,no,,"Samples outdoor pressure at weakest pipe to compute burst damage. Read only."
Networks/AtmosphericsNetwork.cs::EvaluateStressClient,read,no,,"Client: samples outdoor pressure for Stressed flag. Read only; no null check."
Networks/AtmosphericsNetwork.cs::ScanStructuresAndEvaluate,read,no,,"Samples outdoor pressure at each pipe grid to set Stressed / find weakest member. Read only."
NewWorldSummary.cs::SetWorld,display,no,,"New-world menu: builds a throwaway GlobalGasMix from XML to show temperature and pressure ranges (pressure = total moles over data volume, volume-invariant)."
Objects.Electrical/AdvancedComposter.cs::AtmosphericProcessing,gated,yes,CloneGlobalAtmosphere (line 422),"Removes water from pipe; creates ExpelledGas from nothing (per-minute quantity/60*tick, absolute device rate) and Adds it to a real cloned outdoor cell. New matter enters the planet via the cell path; the clone debits the tank."
Objects.Electrical/FridgePowered.cs::InitInternalAtmosphere,read,no,,"On build: reads sampled outdoor temperature (if above Armstrong) to set the fridge internal gas temperature, else 20 C. Creates 1.72 mol N2 internally from nothing (not planet). No null check on the sample."
Objects.Electrical/FridgePowered.cs::OnAtmosphericTick,bypass,yes,NONE,"Cooling: removes up to HeatTransferJoulesPerTick = 1000 J from internal gas and AddEnergy to the SAMPLED atmosphere (stored in field _worldAtmosphere). On the read-only copy the Mole.Energy setter ignores it: heat SINK, up to 1000 J/tick per fridge never reaches ExternalInputEnergyOffset. Energy only, no gas. Absolute rate. Heating branch adds energy to internal only."
Objects.Electrical/LandingPadCenter.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 882) before Mix,"Sample used only for pressure reads; when broken, Mixes landing pad network with a cloned real cell (All states). If network ~empty and sample null, resets network gas (destroys <0.001 kPa in the network, not planet)."
Objects.Electrical/LandingPadGasStorage.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 81) before Mix,"Same pattern as LandingPadCenter: sample for pressure/damage reads, broken => Mix with cloned real cell. Reset below Chemistry.ResetThreshold destroys trace gas in the network only."
Objects.Electrical/LiquidDrain.cs::OnPreAtmosphere,gated,yes,CloneGlobalAtmosphere (line 74),"Moves MolesDrainedPerTick (All states) from pipe into a cloned real cell. Liquids to outdoor cell. Absolute device rate."
Objects.Items/Consumable.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) AtmosphericEventInstance.CloneGlobalRemoveEnergy (lines 154-156), else CreateRemoveEnergy on the real cell","Smelting removes heat (reagent heatCapacity * flash point) from the local air; on the read-only copy it queues an event that clones a real cell first, then RemoveEnergy. Energy only."
Objects.Items/FilterMask.cs::OnAtmosphericTick,bypass,yes,NONE,"Unguarded WorldAtmosphere: Adds exhaled internal gas to it (SINK on read-only copy), MoveToEqualize(WorldAtmosphere -> Internal, MaxValue, All) (free SOURCE: Remove returns moles, copy unchanged), then FilterGas moves filtered species from internal into WorldAtmosphere (SINK). Both source and sink; per wearer per tick about the mask internal volume equalised to outdoor pressure (small). Subclass of GasMask."
Objects.Items/PneumaticMiningDrill.cs::EjectInternalAtmosphere,gated,yes,if (WorldAtmosphere == null || WorldAtmosphere.Mode == AtmosphereMode.Global) WorldAtmosphere = CloneGlobalAtmosphere (lines 289-291),"Vents drill exhaust into a real cell; overwrites the cached WorldAtmosphere with the clone. Host only (clone throws on client)."
Objects.Items/PneumaticMiningDrill.cs::PressureDifferential,read,no,,"Reads WorldAtmosphere pressure vs fuel tank pressure. Read only."
Objects.Pipes/OrganPipe.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 39),"MoveToEqualizeBidirectional between pipe network and cloned real cell, gas only. Absolute constants: OrganPressureDelta 10 kPa, _pressurePerTick 20 kPa/tick. Stores the clone in _environment (a real cell)."
Objects.Pipes/PassiveLiquidDrain.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 26),"DrainLiquids from pipe network to cloned real cell, up to min(PipeVolume, half the network liquid) per tick. Liquids."
Objects.RoboticArm/RoboticArmDockAtmos.cs::GetInputAtmos,none,no,,"Private wrapper: docked vent pipe atmosphere else SampleGlobalAtmosphere at arm vent. All callers are GetLogicValue reads (pressure, temp, ratios, moles, combustion)."
Objects.RoboticArm/RoboticArmDockAtmos.cs::HandleOverPressure,read,no,,"Samples outdoor pressure at arm vent vs internal for overpressure damage (MAXPressure 600 atm). No null check."
Objects.RoboticArm/RoboticArmDockAtmos.cs::HandleVentDirection,bypass,yes,NONE,"When there is no DockedVent pipe network, the SAMPLED atmosphere is handed to PumpGasInward (targetAtmosphere.Remove => free SOURCE from read-only copy; with a filter the rejects are Added back => lost) and PumpGasOutward (targetAtmosphere.Add / FilterGas into it => SINK). Rate PressurePerTick = 1 atm per tick over an 8000 L cell (~330 mol/tick at 293 K), absolute. Both source and sink."
Objects.RoboticArm/RoboticArmDockAtmos.cs::VentArmAtmosphereToWorld,gated,yes,AtmosphericEventInstance.CloneGlobalAddGasMix (line 481) clones a real cell then Adds,"Dumps the arm internal gas to a real cloned cell via queued event, then resets internal."
Objects.Rockets/CrewModule.cs::GetExitAtmosphere,gated,no,"CloneGlobalAtmosphere(_exteriorGrid, allowCrewModules:false) (line 154)","Returns a real cloned cell outside the hatch; caller OnAtmosphericTick Mixes cabin with it when open (gas, or All if submerged) and dumps cabin liquid. Returns a real cell, never the copy."
Objects.Rockets/CrewModule.cs::SamplePlasmaWorldAtmosphere,display,no,,"Every 5 s reads PAS.GlobalPressure for re-entry plasma VFX density pow(P/100, 0.35)."
Objects.Rockets/CrewModuleActiveVent.cs::GetWorkingAtmosphere,gated,no,CloneGlobalAtmosphere (line 38),"Returns crew module internal atmosphere or a real cloned cell. Never the copy. (Base ActiveVent.GetWorkingAtmosphere also clones.)"
Objects.Rockets/CrewModulePassiveVent.cs::GetWorkingAtmosphere,gated,no,CloneGlobalAtmosphere (line 30),"Returns crew module internal atmosphere or a real cloned cell. Never the copy."
Objects.Rockets/Rocket.cs::Explode,gated,yes,AtmosphericEventInstance.CloneGlobalAddGasMix (line 2451),"Creates methane+oxygen equal to rocket fuel at 1000 K from nothing and adds to a cloned real cell with spark. New matter and heat enter the planet via the cell path."
Objects.Structures/Geyser.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 115),"Tapped geyser creates _expelledGasses (absolute moles/tick at set temperature) from nothing into the cloned cell above it while cell pressure < _maxPressureKpa (absolute). A designed SOURCE of new matter into the planet through a real cell; unbounded over time with the tank switched on, and 20x stronger per cell at 0.05 volume."
Objects.Structures/WaterDevice.cs::IsMinimumWorldPressure,read,no,,"Sampled outdoor pressure >= MinimumWorldPressure 30 kPa (absolute, intensive) gates water devices."
Rooms/RoomEvaluator.cs::ThreadedWork,gated,yes,CloneGlobalAtmosphere (line 142),"When a room is sealed, every grid of it gets a cloned real cell (to set .Room): each newly created cell is filled from the tank (debit one cell's worth per room grid). Rooms start full of planet air."
Rooms/RoomHelper.cs::AddGridToRoom,gated,yes,"CloneGlobalAtmosphere (line 38), or GetAtmosphereLocal ?? new empty Atmosphere when createEmptyAtmosphere (line 35)","Assigns room to a grid: clones a real cell from the planet unless createEmptyAtmosphere (then creates an EMPTY cell without touching the tank)."
Sound/EnvironmentalAudioHandler.cs::HandleReverb,read,no,,"Reads player WorldAtmosphere.RatioOneAtmosphereClamped for reverb / has-atmosphere. Read only."
TerrainSystem/VoxelTerrain.cs::ApplyVoxelWorldEffects,gated,yes,AtmosphericEventInstance.CloneGlobal (line 1048) clones a real cell,"VoxelAdd queues CloneGlobal with zero energy (creates a planet-filled cell, debits tank); VoxelRemove queues CreateEmpty (empty cell, which then refills from neighbours/planet). Then rechecks rooms and connections."
TraderShuttle.cs::ExplodeEffects,gated,yes,AtmosphericEventInstance.CloneGlobalAddGasMix (line 248),"Creates FuelExplosionMoles of methane/oxygen (2:1) at 1000 K from nothing into a cloned real cell with spark. New matter into planet via the cell path."
Util.Commands/AtmosphereCommands.cs::Execute,display,no,,"'global' toggles PAS.DrawGlobalDebug overlay."
Util.Commands/VegetationCommand.cs::Execute,none,no,,"Sets GlobalPlant.Count / toggles TerraForming.DrawDebug. Vegetation registry only, no gas or heat."
ValueRange.cs::(type),display,no,,"Ctor builds a throwaway tank from XML and sweeps GetGlobalGasMixTemperature over solar angle for the world-summary min/max temperature. Includes live latent/external offsets if a game is running."
WorldManager.cs::HasGravityAtHeight,read,no,,"height < PAS.SpaceHeight (1000 m absolute). Geometry only."
WorldManager.cs::InitializeWorldEnvironment,internal,yes,NONE (creates planet),"Calls PAS.CreateGlobalAtmosphere(world GlobalAtmosphereData) at world init (a later save Load overrides it)."
WorldManager.cs::LoadGameDataAsync,none,no,,"TerraForming.Initialize(): registers plant prefabs as GlobalPlants. No gas or heat."
WorldSetting.cs::(type),read,no,,"Forwarding properties SolarAngleTemperatureCurve and GlobalGasMixData from Data.GlobalAtmosphereData (static world composition, not the live tank)."
WorldSettingData.cs::(type),none,no,,"Field declaration: [XmlElement('GlobalAtmosphere')] GlobalAtmosphereData."
WorldSettingData.cs::Initialize,internal,no,,"GlobalAtmosphereData?.Init(): initialises curves from XML."
WorldSettingData.cs::IsValid,none,no,,"World is invalid if GlobalAtmosphereData == null. Null check only."
WRAPPER::AtmosphericsController.SampleGlobalAtmosphere,none,no,,"The sampler itself: real cell, crew module internal, or read-only copy."
WRAPPER::AtmosphericsController.ReadonlyGlobalAtmosphere,none,no,,"Static forwarder to PAS.ReadOnlyGlobal."
WRAPPER::AtmosphericsController.HasAtmosphere,none,no,,"bool from SampleGlobalAtmosphere(grid).IsActive(); read."
WRAPPER::PlanetaryAtmosphereSimulation.ReadOnlyGlobal,none,no,,"Returns read-only global or the empty read-only space copy."
WRAPPER::PlanetaryAtmosphereSimulation.GetGlobalGasMix,none,no,,"Returns the live tank object, mutable outside the lock."
WRAPPER::PlanetaryAtmosphereSimulation.GetGlobalGasMixCopy,none,no,,"Returns a GasMixture copy of the WHOLE tank (not per cell); a copy, but callers may treat it as a source."
WRAPPER::DynamicThing.SetWorldAtmosphere,none,no,,"Stores SampleGlobalAtmosphere (or parent / crew module internal) into DynamicThing.WorldAtmosphere; inherited down the parent slot chain."
WRAPPER::DynamicThing.WorldAtmosphere,none,no,,"The cached sampled atmosphere property."
WRAPPER::FridgePowered._worldAtmosphere,none,no,,"Field storing the sample; only used in FridgePowered.OnAtmosphericTick."
WRAPPER::RoboticArmDockAtmos.GetInputAtmos,none,no,,"Private; docked vent pipe atmosphere or the sample; callers are logic reads only."
CONSTANT::GlobalAtmosphereData.Volume,none,no,,"Default 4e10 L tank volume (5,000,000 cells); saved per tank and restored by Load."
CONSTANT::PlanetaryAtmosphereSimulation.CLOUD_VOLUME,none,no,,"100,000 L liquid/ice cloud bucket: absolute, fills 20x sooner per cell at 0.05 volume (more frequent rain/snow)."
CONSTANT::PlanetaryAtmosphereSimulation.ICE_CAP_VOLUME,none,no,,"1e7 L ice caps volume, absolute."
CONSTANT::PlanetaryAtmosphereSimulation.MINMeltQuantity,none,no,,"1000 mol/tick floor for cap melt, absolute."
CONSTANT::PlanetaryAtmosphereSimulation.MINLiquidFreezeQuantity,none,no,,"3000 mol/tick floor for liquid freeze to caps, absolute."
CONSTANT::PlanetaryAtmosphereSimulation.MELT_RATIO,none,no,,"1.389e-5 of caps per tick (relative)."
CONSTANT::PlanetaryAtmosphereSimulation.FREEZE_RATIO,none,no,,"4.167e-5 of tank liquid per tick (relative)."
CONSTANT::PlanetaryAtmosphereSimulation.SpaceHeight,none,no,,"1000 m; above it cells use the empty read-only space copy and CloneGlobalGasMix gives nothing; also the gravity cut-off."
CONSTANT::PlanetaryAtmosphereSimulation.UPDATE_TO_VULCAN_VENUS_ATMO,none,no,,"26973: saves older than this reset the planet on load."
CONSTANT::GlobalGasMix.GlobalTemperatureStateChangeOffset,none,no,,"2 K hysteresis on all planet phase change."
CONSTANT::GlobalAtmosphereLiquid.RenderThreshold,none,no,,"1.5e6 L of tank liquid before the global sea renders; absolute, and its multiplier is evaluated once at static init."
CONSTANT::GlobalAtmosphereLiquid.MAX_WATER_HEIGHT,none,no,,"Sea height lerp 2..10 m by liquid/tank volume ratio (relative)."
CONSTANT::GlobalTemperatureCurveOffset.DayNightAngles,none,no,,"70/110 degree day-night blend hardcoded in both offset types."
CONSTANT::Chemistry.GridVolume,none,no,,"8000 L cell; read-only copy volume and clone scale."
CONSTANT::ContactSlotData+PlaneCondition.MinPressure,none,no,,"1 kPa planet pressure for plane traders (intensive)."
CONSTANT::WaterDevice.MinimumWorldPressure,none,no,,"30 kPa outdoor pressure for water devices (intensive)."
CONSTANT::AtmosphericScatteringBlend.FallbackMoles,none,no,,"40 mol per cell reference when world XML has no gas (per-cell, volume-invariant)."
CONSTANT::FridgePowered.HeatTransferJoulesPerTick,none,no,,"1000 J/tick heat dumped outdoors (lost on the read-only copy)."
CONSTANT::RoboticArmDockAtmos.PressurePerTick,none,no,,"1 atm per tick pump rate against sampled outdoor air."
CONSTANT::OrganPipe._pressurePerTick,none,no,,"20 kPa/tick (gated)."
