site,kind,mutates,guard,note
Assets.Scripts.Objects.Items/FuelIngot.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) { ...; AtmosphericEventInstance.CloneGlobalAddGasMix(WorldGrid, GasMixture); } (53-57) else CreateAdd on the real cell","Burning fuel ingot adds its SpawnContents gas: through the CloneGlobalAddGas event when handed the copy (the resample at 55 is read for temperature only). Item-content gas SOURCE into a real cell."
Assets.Scripts.Objects.Items/GasCanister.cs::InteractWith,read,no,"","Reads sampled pressure for the release sound."
Assets.Scripts.Objects.Items/GasCanister.cs::OnAtmosphericTick,gated,yes,"sample (190) used for pressure delta only; both mutations follow atmosphere = CloneGlobalAtmosphere(WorldGrid, 0L) (204, 230)","A blown canister mixes (All) with a cloned real cell; an open canister volume-weight mixes its content type with a cloned real cell. Both on real cells."
Assets.Scripts.Objects.Items/GasCanister.cs::OnDamageDestroyed,gated,yes,"AtmosphericEventInstance.CloneGlobalAddGasMix(WorldGrid, new GasMixture(InternalAtmosphere.GasMixture), spark: true) (331)","Burst canister releases its contents into a cloned real cell, sparked."
Assets.Scripts.Objects.Items/GasCanister.cs::Recycle,gated,yes,"passes the sample to Smelt, which checks IsGlobalAtmosphere (285)","Samples outdoor air and calls Smelt; Smelt routes through CloneGlobalAddGasMix when it is the copy."
Assets.Scripts.Objects.Items/GasCanister.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalAddGasMix(...) else CreateAdd(localAtmosphere, ...) (285-287)","Releases canister contents to a real cell."
Assets.Scripts.Objects.Items/GasMask.cs::FlushMask,bypass,yes,"mask and suit gas: CloneGlobalAddGasMix (376, 380) OK; lung gas: CreateAdd(base.WorldAtmosphere, ...) (389, 397) NONE","Partial SINK. Mask and suit contents go through the gated clone event, but lung contents are queued with CreateAdd onto base.WorldAtmosphere, which outdoors is the read-only copy (the AddGasMixture event just calls _atmosphere.Add): lung gas destroyed, lungs reset. One lungful per flush (small, player action)."
Assets.Scripts.Objects.Items/GasMask.cs::OnAtmosphericTick,bypass,yes,NONE,"SOURCE and SINK (known). WorldAtmosphere = SampleGlobalAtmosphere (318) then AtmosphereHelper.Mix(Internal, WorldAtmosphere, Gas) (319): the mask interior is set to the volume-weighted mix with the 8000 L copy each tick while the copy ignores its Set. Exhaled CO2 vanishes and planet air appears free; about one mask-volume of gas per tick. Only when not worn with a suit."
Assets.Scripts.Objects.Items/Ice.cs::AttackWith,gated,yes,"Ore.Smelt: if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalAddGasMix (Ore.cs:110-114)","Welder on ice: Smelt(base.WorldAtmosphere, ...) (134); Ice has no Smelt override, so Ore.Smelt routes the ice's gas through the clone event when outdoors. Item-content SOURCE. NRE if WorldAtmosphere null."
Assets.Scripts.Objects.Items/Ice.cs::CanMelt,read,no,"","Null check on WorldAtmosphere."
Assets.Scripts.Objects.Items/Ice.cs::HandleIceMelting,gated,yes,"Ore.Smelt IsGlobalAtmosphere check (Ore.cs:110)","Samples outdoor air (or the furnace internal), reads IsActive / WillMeltIce / temperature, then Smelt(atmosphere): the released gas/liquid goes via CloneGlobalAddGasMix when the sample is the copy. Released energy uses Lerp(outdoor T, ore T, 0.6). Ice melting outdoors is a real SOURCE of volatiles/water/etc. to the planet, including liquid."
Assets.Scripts.Objects.Items/Ice.cs::Recycle,gated,yes,"Ore.Smelt IsGlobalAtmosphere check (Ore.cs:110)","Samples then Smelt; gated as above."
Assets.Scripts.Objects.Items/Jetpack.cs::HasPropellent,read,no,"","Reads WorldAtmosphere moles/volume to compute usable propellant above ambient."
Assets.Scripts.Objects.Items/Jetpack.cs::OnAtmosphericTick,bypass,yes,"only if (base.WorldAtmosphere == null) CloneGlobalAtmosphere (643-645); no IsGlobalAtmosphere check","SINK. A worn jetpack inherits the wearer's WorldAtmosphere (DynamicThing.SetWorldAtmosphere), outdoors the read-only copy, which is non-null so the clone is skipped; base.WorldAtmosphere.Add(canister.Remove(MolesToUse x OutputSetting, Gas)) (647) destroys the propellant. Rate MolesPerEmission x 6 x JetpackRate x OutputSetting per tick while thrusting (absolute, small)."
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantCritical,read,no,"","Reads WorldAtmosphere pressure."
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantDelta,read,no,"","Reads WorldAtmosphere pressure."
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantLow,read,no,"","Reads WorldAtmosphere pressure."
Assets.Scripts.Objects.Items/LiquidVacuum.cs::OnAtmosphericTick,gated,yes,"AtmosphericsController.World.CloneGlobalAtmosphere(new WorldGrid(RootParent.Position), 0L) (171)","Liquid: drains liquid between a cloned real cell and the internal atmosphere (both directions), _maxVolumePerTick (absolute) x LiquidWorldVolumeScale. If the tank holds liquid, each clone materialises a cell-share of global sea liquid that the vacuum can then suck: a gated tap on planet liquid."
Assets.Scripts.Objects.Items/Ore.cs::CentrifugeProcessUnit,gated,yes,"passes the sample to Smelt; Ore.Smelt IsGlobalAtmosphere check (110)","Centrifuge smelts ore against sampled outdoor air; gas routed by Smelt. Smelt is virtual: every override is a consumer of the sample."
Assets.Scripts.Objects.Items/Ore.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) { ...; CloneGlobalAddGasMix(WorldGrid, gasMixture); } else CreateAdd(localAtmosphere, ...) (110-114)","Ore gas by-product (SpawnContents) added to a real cell; the resample at 112 is read for temperature only. The base chain (Stackable.Smelt / DynamicThing.Smelt) does not touch the atmosphere."
Assets.Scripts.Objects.Items/Plant.cs::BreathingAtmosphere,read,no,"","Property forwards the tray's BreathingAtmosphere or base.WorldAtmosphere (WRAPPER). The known Plant breathing bypass mutates what this returns; the mutation is in its callers, not here."
WRAPPER::AtmosphericsController.ReadonlyGlobalAtmosphere,none,no,"","Static; returns PAS.ReadOnlyGlobal(grid) directly (always the copy)."
WRAPPER::AtmosphericsController.SampleGlobalAtmosphere,none,no,"","The sampler itself: GetAtmosphereLocal(grid) ?? PAS.ReadOnlyGlobal(grid)."
WRAPPER::AtmosphericsController.HasAtmosphere,none,no,"","Bool only, built on the sample (IsActive)."
WRAPPER::PlanetaryAtmosphereSimulation.ReadOnlyGlobal,none,no,"","Returns _readOnlyGlobal, or _readOnlySpace above SpaceHeight."
WRAPPER::DynamicThing.WorldAtmosphere,none,no,"","Cached sample; slot children inherit the parent's WorldAtmosphere."
WRAPPER::DynamicThing.SetWorldAtmosphere,none,no,"","Stores SampleGlobalAtmosphere / crew module / parent internal into WorldAtmosphere."
WRAPPER::Entity.BreathingAtmosphere,none,no,"","Getter returns base.WorldAtmosphere; setter stores into it."
WRAPPER::Human.BreathingAtmosphere,none,no,"","Forwards Entity.BreathingAtmosphere unless helmet internals are on."
WRAPPER::Entity.SoilingAtmosphere,none,no,"","Protected; => base.WorldAtmosphere (Human overrides: suit internal, else base)."
WRAPPER::SuitBase.BreathingAtmosphere,none,no,"","Private; forwards ParentEntity.BreathingAtmosphere."
WRAPPER::Plant.BreathingAtmosphere,none,no,"","Forwards tray atmosphere or base.WorldAtmosphere."
WRAPPER::GasSensor.WorldAtmosphere,none,no,"","Public field filled by FindAtmosphere with the sample."
WRAPPER::GasSensor.FindAtmosphere,none,no,"","Stores the sample in the public field."
WRAPPER::AtmosAnalyser.ScannedAtmosphere,none,no,"","Public property holding the GetScannedAtmosphere result (may be the copy)."
WRAPPER::AtmosAnalyser.GetScannedAtmosphere,none,no,"","Returns WorldAtmosphere of the human or itself."
WRAPPER::VendingMachineRefrigerated._worldAtmosphere,none,no,"","Private field holding the sample; only used in OnAtmosphericTick."
